game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012030221,3,away,LOSS,OT,John Tortorella,2,8,44,8,3,0,44.8,17,7
2012030221,6,home,WIN,OT,Claude Julien,3,12,51,6,4,1,55.2,4,5
2012030222,3,away,LOSS,REG,John Tortorella,2,9,33,11,5,0,51.7,1,4
2012030222,6,home,WIN,REG,Claude Julien,3,8,36,19,1,0,48.3,16,6
2013020703,19,home,WIN,REG,Ken Hitchcock,2,4,18,6,3,1,47.6,5,9
2013020835,17,away,LOSS,OT,Mike Babcock,3,7,28,12,3,2,39.5,7,7
2013020835,15,home,WIN,OT,Adam Oates,4,7,40,6,6,3,60.5,14,8
2012020310,18,away,LOSS,REG,Barry Trotz,1,4,26,8,1,0,42.1,9,7
2012020310,28,home,WIN,REG,Todd McLellan,2,9,23,2,4,2,57.9,14,9
2014020272,5,away,WIN,REG,Mike Johnston,2,5,19,6,1,1,38.5,12,6
2014020272,8,home,LOSS,REG,Michel Therrien,0,6,19,2,3,0,61.5,10,8
2014020620,12,away,TIE,SO,Bill Peters,2,7,12,9,3,0,33.3,2,4
2014020620,19,home,TIE,SO,Ken Hitchcock,2,8,20,11,1,0,66.7,7,8
2014020058,20,away,LOSS,REG,Bob Hartley,2,7,24,15,4,0,36.8,4,4
2012020357,17,away,LOSS,REG,Mike Babcock,0,7,14,14,3,0,33.3,2,4
2012020357,29,home,WIN,REG,Todd Richards,3,6,25,18,6,1,66.7,3,8
2013020912,4,away,WIN,OT,Craig Berube,3,9,27,16,4,2,61.7,6,4
2013020912,15,home,LOSS,OT,Adam Oates,2,7,17,15,6,0,38.3,12,9
2012020689,25,away,LOSS,REG,Glen Gulutzan,2,6,27,6,3,1,41.5,14,4
2012020689,28,home,WIN,REG,Todd McLellan,3,9,26,6,2,1,58.5,13,9
2013020906,52,away,WIN,REG,Paul Maurice,3,5,22,14,1,0,40.7,5,5
2013020906,18,home,LOSS,REG,Barry Trotz,1,10,18,4,6,0,59.3,12,8
2012020485,22,away,WIN,REG,Ralph Krueger,3,4,14,15,0,0,43.4,4,4
2012020485,19,home,LOSS,REG,Ken Hitchcock,0,10,22,11,2,0,56.6,3,6
2013020433,28,away,TIE,REG,Todd McLellan,3,6,21,2,2,0,49.3,8,12
2014020093,6,home,LOSS,REG,Claude Julien,2,8,24,2,1,0,60,10,5
2014020518,15,away,WIN,REG,Barry Trotz,3,8,29,8,5,0,52.5,2,4
2014020518,5,home,LOSS,REG,Mike Johnston,0,7,46,10,4,0,47.5,9,2
2014020883,26,away,WIN,REG,Darryl Sutter,2,7,45,6,2,0,48.4,7,5
2014020883,28,home,LOSS,REG,Todd McLellan,1,8,49,4,3,0,51.6,18,13
2014020188,13,away,LOSS,REG,Gerard Gallant,1,8,35,8,4,1,52,4,4
2014020188,4,home,WIN,REG,Craig Berube,2,7,35,12,2,0,48,6,3
2014020290,13,away,TIE,SO,Gerard Gallant,2,7,20,6,5,1,41.9,13,7
2014020290,28,home,TIE,SO,Todd McLellan,2,7,27,10,3,1,58.1,19,9
2014021213,53,away,LOSS,REG,Dave Tippett,0,7,15,10,4,0,56.4,6,5
2014021213,23,home,WIN,REG,Willie Desjardins,3,8,11,10,4,3,43.6,12,7
2015020250,21,away,WIN,REG,Patrick Roy,4,6,29,8,2,1,50.9,16,4
2015020250,8,home,LOSS,REG,Michel Therrien,1,10,21,4,4,0,49.1,14,5
2017020372,26,away,WIN,REG,John Stevens,2,9,27,6,4,1,44.4,3,6
2017020372,17,home,LOSS,REG,Jeff Blashill,1,6,17,8,3,0,55.6,18,10
2017020956,24,away,LOSS,REG,Randy Carlyle,0,6,24,8,2,0,64,4,5
2017020956,53,home,WIN,REG,Rick Tocchet,2,9,20,4,4,0,36,4,4
2016020895,2,away,WIN,REG,Doug Weight,3,6,36,4,2,0,45.8,11,7
2016020895,8,home,LOSS,REG,Claude Julien,0,6,32,6,1,0,54.2,12,6
2017020272,53,away,LOSS,REG,Rick Tocchet,1,8,20,8,5,0,48.3,11,2
2017020272,52,home,WIN,REG,Paul Maurice,2,7,11,12,3,0,51.7,13,14
2015020189,18,away,WIN,REG,Peter Laviolette,3,6,20,14,1,0,46.4,4,4
2017020436,23,home,LOSS,REG,Travis Green,1,9,18,12,2,0,52.5,8,2
2017020080,14,away,WIN,REG,Jon Cooper,3,6,25,12,5,1,43.3,12,5
2017020080,17,home,LOSS,REG,Jeff Blashill,2,7,15,10,6,0,56.7,16,4
