game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2013030143,3,away,WIN,REG,Alain Vigneault,2,5,39,12,4,0,45.9,9,6
2013030143,4,home,LOSS,REG,Craig Berube,1,8,39,10,5,0,54.1,6,4
2013020904,3,away,TIE,REG,Alain Vigneault,2,8,28,20,3,1,44.1,7,1
2013020904,4,home,TIE,REG,Craig Berube,2,7,36,18,4,1,55.9,13,6
2013020868,3,away,TIE,SO,Alain Vigneault,3,10,22,14,5,2,50,2,4
2013020868,5,home,TIE,SO,Dan Bylsma,3,7,31,16,4,2,50,9,3
2013030221,3,away,WIN,OT,Alain Vigneault,3,6,26,8,4,0,52.2,4,1
2013030221,5,home,LOSS,OT,Dan Bylsma,2,9,23,8,4,0,47.8,11,5
2013030141,4,away,LOSS,REG,Craig Berube,1,3,37,14,1,0,46.9,4,8
2013030141,3,home,WIN,REG,Alain Vigneault,2,9,32,4,6,2,53.1,16,10
2013021090,4,away,LOSS,REG,Craig Berube,1,7,22,10,2,0,51.6,7,4
2013021090,3,home,WIN,REG,Alain Vigneault,3,7,29,10,2,0,48.4,15,11
2013020275,4,away,WIN,REG,Craig Berube,2,5,31,10,2,1,55.7,1,8
2013020275,5,home,LOSS,REG,Dan Bylsma,1,7,24,6,4,1,44.3,10,6
2013030223,5,away,WIN,REG,Dan Bylsma,2,3,16,10,1,0,55.9,8,9
2013030223,3,home,LOSS,REG,Alain Vigneault,0,8,32,2,5,0,44.1,20,11
2013020226,5,away,LOSS,REG,Dan Bylsma,1,7,18,19,6,1,50,7,3
2013020226,3,home,WIN,REG,Alain Vigneault,3,6,25,21,4,0,50,5,10
2013020099,5,away,WIN,REG,Dan Bylsma,2,8,35,13,4,0,41.8,5,5
2013020099,4,home,LOSS,REG,Craig Berube,1,6,33,13,4,1,58.2,4,8
2014020929,3,away,TIE,REG,Alain Vigneault,2,9,34,6,3,0,44.6,6,0
2014020929,4,home,TIE,REG,Craig Berube,2,8,38,6,3,0,55.4,7,5
2014030133,3,away,WIN,REG,Alain Vigneault,2,6,37,8,2,0,45.9,3,3
2014030133,5,home,LOSS,REG,Mike Johnston,1,6,43,10,2,0,54.1,8,3
2014020255,3,away,TIE,SO,Alain Vigneault,2,7,31,8,4,1,42.4,4,3
2014020255,5,home,TIE,SO,Mike Johnston,2,9,44,12,2,0,57.6,13,6
2014020348,4,away,LOSS,REG,Craig Berube,2,5,26,8,1,1,64.7,9,6
2014020348,3,home,WIN,REG,Alain Vigneault,3,8,30,2,4,1,35.3,9,3
2014021150,4,away,WIN,REG,Craig Berube,2,7,23,6,5,1,42.4,5,1
2014021150,5,home,LOSS,REG,Mike Johnston,1,6,28,12,2,0,57.6,6,4
2014030131,5,away,LOSS,REG,Mike Johnston,1,6,32,10,1,0,57.6,7,7
2014030131,3,home,WIN,REG,Alain Vigneault,2,9,32,2,5,1,42.4,11,8
2014020406,5,away,WIN,OT,Mike Johnston,3,8,26,8,1,0,50.9,5,2
2014020406,3,home,LOSS,OT,Alain Vigneault,2,7,23,2,4,0,49.1,17,10
2014021183,5,away,LOSS,REG,Mike Johnston,1,11,38,10,2,1,49.1,7,6
2014021183,4,home,WIN,REG,Craig Berube,2,5,46,16,4,3,50.9,13,5
