team_id,franchiseId,teamName,abbreviation,Stadium,link
1,23,Atlanta United,ATL,Mercedes-Benz Stadium,/api/v1/teams/1
4,16,Chicago Fire,CHI,SeatGeek Stadium,/api/v1/teams/4
6,6,FC Dallas,DAL,Toyota Stadium,/api/v1/teams/6
3,10,Houston Dynamo,HOU,BBVA Stadium,/api/v1/teams/3
28,29,Los Angeles FC,LFC,Banc of California Stadium,/api/v1/teams/28
16,11,New England Revolution,NE,Gillette Stadium,/api/v1/teams/16
30,37,Orlando City SC,ORL,Exploria Stadium,/api/v1/teams/30
15,24,Portland Timbers,POR,Providence Park,/api/v1/teams/15
19,18,Philadelphia Union,PHI,Talen Energy Stadium,/api/v1/teams/19
24,32,Real Salt Lake,RSL,Rio Tinto Stadium,/api/v1/teams/24
27,28,San Jose Earthquakes,SJ,Avaya Stadium,/api/v1/teams/27
2,22,Seattle Sounders FC,SEA,Centruy Link Field,/api/v1/teams/2
20,21,Toronto FC,TOR,BMO Field,/api/v1/teams/20
21,27,Vancouver Whitecaps FC,VAN,BC Place,/api/v1/teams/21
13,33,Houston Dash,HOD,BBVA Stadium,/api/v1/teams/13
10,5,North Carolina Courage,NCC,WakeMed Soccer Park,/api/v1/teams/10
29,36,Orlando Pride,FLP,Exploria Stadium,/api/v1/teams/29
52,35,Portland Thorns FC,ORT,Providence Park,/api/v1/teams/52
12,26,Sky Blue FC,SBL,Yurcak Field,/api/v1/teams/12
22,25,Washington Spirit FC,WAS,Maryland SoccerPlex,/api/v1/teams/22
