game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012030221,6,home,WIN,OT,Claude Julien,3,12,51,6,4,1,55.2,4,5
2012030223,3,home,LOSS,REG,John Tortorella,1,6,37,2,2,0,38.2,7,9
2012030312,5,home,LOSS,REG,Dan Bylsma,1,6,37,4,2,0,49.1,12,5
2012030233,17,home,WIN,REG,Mike Babcock,3,7,28,10,5,0,56.1,9,3
2012030323,16,away,LOSS,REG,Joel Quenneville,1,5,26,12,2,0,41.4,15,1
2014030147,15,home,WIN,REG,Barry Trotz,2,6,46,2,0,0,60.4,9,9
2016030161,19,away,WIN,OT,Mike Yeo,2,6,18,6,4,0,41.2,6,6
2016030161,30,home,LOSS,OT,Bruce Boudreau,1,13,35,8,3,0,58.8,9,15
2016030162,19,away,WIN,REG,Mike Yeo,2,5,21,8,2,0,37.1,3,5
2016030162,30,home,LOSS,REG,Bruce Boudreau,1,6,38,6,3,1,62.9,8,5
2016030163,30,away,LOSS,REG,Bruce Boudreau,1,10,29,8,4,0,58.3,3,7
2016030163,19,home,WIN,REG,Mike Yeo,3,7,31,10,3,1,41.7,4,4
2016030164,30,away,WIN,REG,Bruce Boudreau,2,7,28,6,2,0,50.8,2,6
2016030164,19,home,LOSS,REG,Mike Yeo,0,7,34,6,2,0,49.2,7,6
2016030165,19,away,LOSS,OT,Mike Yeo,2,6,12,14,4,0,44.9,3,4
2016030165,30,home,WIN,OT,Bruce Boudreau,3,9,30,10,6,2,55.1,9,5
2015030311,14,away,WIN,REG,Jon Cooper,3,5,40,11,2,1,39.7,4,6
2015030311,5,home,LOSS,REG,Mike Sullivan,1,8,31,6,4,1,60.3,9,4
2015030312,14,away,LOSS,OT,Jon Cooper,2,5,36,4,1,0,50,3,5
2015030312,5,home,WIN,OT,Mike Sullivan,3,10,47,2,2,0,50,9,7
2015030313,5,away,TIE,REG,Mike Sullivan,2,12,16,6,3,1,53.1,8,7
2015030313,14,home,TIE,REG,Jon Cooper,2,7,30,20,1,0,46.9,11,7
2015030314,5,away,WIN,REG,Mike Sullivan,3,9,29,12,4,1,51.6,10,2
2015030314,14,home,LOSS,REG,Jon Cooper,2,9,27,12,4,1,48.4,7,4
2015030315,14,away,LOSS,OT,Jon Cooper,2,6,37,8,3,0,45.6,1,5
2015030315,5,home,WIN,OT,Mike Sullivan,3,8,43,8,3,0,54.4,9,6
2015030316,5,away,WIN,REG,Mike Sullivan,3,8,18,2,3,1,44.3,7,8
2015030316,14,home,LOSS,REG,Jon Cooper,2,7,26,6,1,0,55.7,17,6
2015030317,14,away,LOSS,REG,Jon Cooper,1,4,39,12,1,0,41.5,5,2
2015030317,5,home,WIN,REG,Mike Sullivan,2,9,30,6,5,0,58.5,8,10
2016030221,5,away,WIN,REG,Mike Sullivan,3,5,17,2,2,0,54.4,11,9
2016030221,15,home,LOSS,REG,Barry Trotz,2,8,41,6,0,0,45.6,6,7
2016030222,5,away,WIN,REG,Mike Sullivan,4,6,19,10,3,1,44.6,4,6
2016030222,15,home,LOSS,REG,Barry Trotz,2,9,37,16,5,1,55.4,13,9
2016030223,15,away,WIN,OT,Barry Trotz,3,8,31,23,5,2,46.3,4,3
2016030223,5,home,LOSS,OT,Mike Sullivan,2,7,36,14,5,0,53.7,12,4
2016030224,15,away,LOSS,REG,Barry Trotz,2,9,30,14,4,0,44.8,4,5
2016030224,5,home,WIN,REG,Mike Sullivan,3,4,40,12,5,1,55.2,5,10
2016030225,5,away,TIE,REG,Mike Sullivan,2,5,15,6,2,1,60.7,12,3
2016030225,15,home,TIE,REG,Barry Trotz,2,8,38,4,3,0,39.3,14,10
2016030226,15,away,WIN,REG,Barry Trotz,3,6,38,8,4,2,47.8,4,8
2016030226,5,home,LOSS,REG,Mike Sullivan,2,4,32,10,3,0,52.2,11,4
2016030227,5,away,WIN,REG,Mike Sullivan,2,7,29,9,2,0,39,9,12
2016030227,15,home,LOSS,REG,Barry Trotz,0,7,32,9,2,0,61,10,11
2014030171,52,away,TIE,REG,Paul Maurice,2,6,37,8,3,0,37.5,13,7
2014030171,24,home,TIE,REG,Bruce Boudreau,2,8,46,6,3,2,62.5,9,5
2014030172,52,away,LOSS,REG,Paul Maurice,1,7,33,10,4,0,47.5,12,4
2014030172,24,home,WIN,REG,Bruce Boudreau,2,9,48,8,4,1,52.5,9,1
2014030173,24,away,WIN,OT,Bruce Boudreau,3,7,44,8,3,0,48.8,13,5
2014030173,52,home,LOSS,OT,Paul Maurice,2,8,61,8,3,1,51.2,11,4
2014030174,24,away,WIN,REG,Bruce Boudreau,3,8,35,6,1,0,53.5,6,3
2014030174,52,home,LOSS,REG,Paul Maurice,2,6,45,2,3,1,46.5,10,7
2017030241,28,away,LOSS,REG,Peter DeBoer,0,8,33,31,5,0,47.8,8,6
2017030241,54,home,WIN,REG,Gerard Gallant,5,8,48,10,10,3,52.2,10,15
2017030242,28,away,LOSS,OT,Peter DeBoer,2,11,48,12,7,2,55.1,7,12
2017030242,54,home,WIN,OT,Gerard Gallant,3,7,52,22,2,0,44.9,15,26
