game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,venue,venue_link
2012030311,20122013,Postseason,6/2/13,6,5,3,0,Children's Mercy Park,/api/v1/venues/null
2012030125,20122013,Postseason,5/9/13,9,8,4,1,Red Bull Arena,/api/v1/venues/null
2014030414,20142015,Postseason,6/11/15,14,16,1,2,Gillette Stadium,/api/v1/venues/null
2014030135,20142015,Postseason,4/24/15,5,3,1,2,BBVA Stadium,/api/v1/venues/null
2013020674,20132014,Regular Season,1/11/14,19,23,1,2,Saputo Stadium,/api/v1/venues/null
2014020708,20142015,Regular Season,1/29/15,10,1,1,1,Mercedes-Benz Stadium,/api/v1/venues/null
2014020439,20142015,Regular Season,12/14/14,16,2,2,3,Centruy Link Field,/api/v1/venues/null
2014021122,20142015,Regular Season,3/28/15,13,8,2,3,Red Bull Arena,/api/v1/venues/null
2014020089,20142015,Regular Season,11/9/14,10,9,3,3,Yankee Stadium,/api/v1/venues/null
2014020955,20142015,Regular Season,3/5/15,8,24,1,3,Rio Tinto Stadium,/api/v1/venues/null
2014021228,20142015,Regular Season,4/12/15,16,21,2,3,BC Place,/api/v1/venues/null
2014021170,20142015,Regular Season,4/4/15,10,6,1,1,Toyota Stadium,/api/v1/venues/null
2014020317,20142015,Regular Season,11/26/14,9,19,2,2,Talen Energy Stadium,/api/v1/venues/null
2014020250,20142015,Regular Season,11/15/14,24,26,2,3,Nippert Stadium,/api/v1/venues/null
2014021163,20142015,Regular Season,4/3/15,8,1,2,2,Mercedes-Benz Stadium,/api/v1/venues/null
2014020029,20142015,Regular Season,10/12/14,30,21,3,0,BC Place,/api/v1/venues/null
2014021072,20142015,Regular Season,3/21/15,2,1,3,0,Mercedes-Benz Stadium,/api/v1/venues/null
2014020939,20142015,Regular Season,3/3/15,18,3,1,2,BBVA Stadium,/api/v1/venues/null
2014020495,20142015,Regular Season,12/22/14,10,16,0,2,Gillette Stadium,/api/v1/venues/null
2014020715,20142015,Regular Season,1/30/15,25,9,4,3,Yankee Stadium,/api/v1/venues/null
2014020636,20142015,Regular Season,1/14/15,23,18,1,3,Allianz Field,/api/v1/venues/null
2014020963,20142015,Regular Season,3/6/15,8,26,3,3,Nippert Stadium,/api/v1/venues/null
2014020846,20142015,Regular Season,2/18/15,7,1,1,1,Mercedes-Benz Stadium,/api/v1/venues/null
2014020190,20142015,Regular Season,11/7/14,20,14,2,3,Audi Field,/api/v1/venues/null
2014021002,20142015,Regular Season,3/12/15,14,6,2,2,Toyota Stadium,/api/v1/venues/null
2014021160,20142015,Regular Season,4/3/15,23,16,1,3,Gillette Stadium,/api/v1/venues/null
2014020448,20142015,Regular Season,12/14/14,26,10,3,3,WakeMed Soccer Park,/api/v1/venues/null
2014021088,20142015,Regular Season,3/24/15,21,20,2,3,BMO Field,/api/v1/venues/null
2014020499,20142015,Regular Season,12/23/14,5,13,3,3,BBVA Stadium,/api/v1/venues/null
2014021172,20142015,Regular Season,4/4/15,14,13,2,0,BBVA Stadium,/api/v1/venues/null
2014020512,20142015,Regular Season,12/24/14,10,25,2,0,SeatGeek Stadium,/api/v1/venues/null
2014021127,20142015,Regular Season,3/29/15,25,23,2,3,Saputo Stadium,/api/v1/venues/null
2014020148,20142015,Regular Season,10/31/14,10,29,2,1,Exploria Stadium,/api/v1/venues/null
2014020268,20142015,Regular Season,11/19/14,28,7,1,2,Rio Tinto Stadium,/api/v1/venues/null
2014020487,20142015,Regular Season,12/21/14,16,29,2,2,Exploria Stadium,/api/v1/venues/null
2014020481,20142015,Regular Season,12/21/14,4,10,5,2,WakeMed Soccer Park,/api/v1/venues/null
2014020492,20142015,Regular Season,12/21/14,25,22,3,3,Maryland SoccerPlex,/api/v1/venues/null
2014020927,20142015,Regular Season,2/28/15,53,6,1,2,Toyota Stadium,/api/v1/venues/null
2014021085,20142015,Regular Season,3/23/15,30,10,2,1,WakeMed Soccer Park,/api/v1/venues/null
2014020550,20142015,Regular Season,1/1/15,1,17,1,3,Dignity Health Sports Park,/api/v1/venues/null
2014020985,20142015,Regular Season,3/8/15,3,16,1,0,Gillette Stadium,/api/v1/venues/null
2014020683,20142015,Regular Season,1/21/15,9,3,2,3,BBVA Stadium,/api/v1/venues/null
