game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012030222,6,home,WIN,REG,Claude Julien,3,8,36,19,1,0,48.3,16,6
2012030313,5,away,LOSS,OT,Dan Bylsma,1,13,46,16,6,0,57.3,8,10
2012030113,5,away,WIN,OT,Dan Bylsma,3,6,33,8,5,3,47.5,8,6
2012030131,15,home,WIN,REG,Adam Oates,3,7,32,10,5,1,51.6,11,6
2013030155,21,home,LOSS,OT,Patrick Roy,2,8,34,8,3,0,47.5,8,6
2013030325,16,home,WIN,OT,Joel Quenneville,3,11,40,6,4,1,45.9,14,7
2013030327,26,away,WIN,OT,Darryl Sutter,3,8,43,10,2,0,47.4,8,4
2015030226,5,home,LOSS,OT,Mike Sullivan,2,10,43,12,3,2,56.4,9,8
2015030113,2,home,LOSS,OT,Jack Capuano,2,9,48,8,4,2,56.3,24,15
2013030174,25,home,TIE,REG,Lindy Ruff,2,6,30,35,3,0,56.7,15,10
2014030221,15,away,WIN,REG,Barry Trotz,2,7,32,6,2,1,44.3,13,3
2014030225,3,home,WIN,OT,Alain Vigneault,2,10,32,4,2,0,47.7,18,10
2017030173,26,home,LOSS,REG,John Stevens,2,9,45,10,5,0,55.7,14,3
2012020510,30,home,TIE,SO,Mike Yeo,3,7,23,4,4,1,53.7,4,6
2012020681,1,home,WIN,REG,Peter DeBoer,3,6,19,8,4,2,40.7,6,5
2014020394,29,away,WIN,REG,Todd Richards,3,5,28,10,4,1,48.1,4,11
2014020799,2,home,WIN,REG,Jack Capuano,3,7,47,8,2,0,59.7,12,15
2014020512,25,home,LOSS,REG,Lindy Ruff,0,10,18,21,4,0,53.5,17,11
2014030245,24,home,WIN,OT,Bruce Boudreau,3,11,33,12,4,2,62.3,15,13
2013030123,14,away,LOSS,REG,Jon Cooper,2,7,40,12,2,1,51.5,12,5
2013020037,10,home,LOSS,REG,Randy Carlyle,1,7,33,11,2,0,39.7,16,9
2013020026,16,home,TIE,SO,Joel Quenneville,2,9,19,2,5,1,50,7,14
2013020500,17,home,LOSS,REG,Mike Babcock,0,7,23,6,3,0,50,6,11
2014021144,1,away,LOSS,OT,Adam Oates,2,6,24,8,2,1,37,1,7
2014020754,23,home,WIN,OT,Willie Desjardins,3,8,12,25,6,0,49.2,7,4
2014020340,23,away,WIN,REG,Willie Desjardins,3,7,21,6,2,0,47,4,2
2014020664,18,away,LOSS,REG,Peter Laviolette,2,9,31,4,3,1,50,9,4
2016020459,14,away,TIE,REG,Jon Cooper,2,6,21,4,2,1,38.2,7,3
2013020354,9,away,LOSS,REG,Paul MacLean,1,9,34,8,2,0,50,12,8
2012020140,25,away,WIN,OT,Glen Gulutzan,3,7,12,8,3,1,57.1,4,10
2013020165,20,home,WIN,REG,Bob Hartley,3,8,13,8,3,0,54.4,10,9
2013020001,10,away,LOSS,REG,Randy Carlyle,2,9,25,47,7,1,52.7,5,3
2012020078,1,away,TIE,SO,Peter DeBoer,1,6,23,11,5,1,38.3,6,8
2013020595,9,home,WIN,REG,Paul MacLean,3,9,28,4,4,0,54.2,13,10
2014020574,17,away,LOSS,REG,Mike Babcock,1,7,5,14,3,0,49.2,6,7
2015020240,22,away,LOSS,REG,Todd McLellan,1,7,24,6,4,0,43.3,6,8
2016020961,26,home,WIN,REG,Darryl Sutter,3,11,30,6,7,2,52.3,14,6
2015020611,21,home,TIE,REG,Patrick Roy,3,6,14,6,6,2,53.3,2,6
2015020327,24,away,TIE,REG,Bruce Boudreau,2,7,45,8,3,2,40.9,3,0
