game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012020001,5,away,WIN,REG,Dan Bylsma,3,6,37,10,3,2,56.5,8,10
2012020001,4,home,LOSS,REG,Peter Laviolette,1,6,40,6,5,0,43.5,12,8
2012020002,9,away,WIN,REG,Paul MacLean,2,9,21,14,2,1,44.4,8,5
2012020002,52,home,LOSS,REG,Claude Noel,1,7,29,6,6,1,55.6,19,4
2012020003,16,away,WIN,REG,Joel Quenneville,3,5,22,10,5,1,49.2,7,1
2012020003,26,home,LOSS,REG,Darryl Sutter,2,5,39,10,5,0,50.8,14,7
2012020004,3,away,LOSS,REG,John Tortorella,1,5,34,24,5,0,39.7,10,1
2012020004,6,home,WIN,REG,Claude Julien,3,8,27,30,7,0,60.3,1,6
2012020005,10,away,WIN,REG,Randy Carlyle,2,6,39,15,5,2,38.2,6,7
2012020005,8,home,LOSS,REG,Michel Therrien,1,5,24,15,5,1,61.8,7,9
2012020006,1,away,WIN,REG,Peter DeBoer,2,7,23,8,2,0,41.2,7,6
2012020006,2,home,LOSS,REG,Jack Capuano,1,4,19,4,4,1,58.8,9,4
2012020007,15,away,LOSS,REG,Adam Oates,3,7,16,16,4,1,45.9,6,6
2012020007,14,home,WIN,REG,Guy Boucher,4,8,27,10,7,3,54.1,9,5
2012020008,12,away,LOSS,REG,Kirk Muller,1,10,28,14,6,0,49.2,1,2
2012020008,13,home,WIN,REG,Kevin Dineen,3,6,22,16,6,3,50.8,5,10
2012020009,17,away,LOSS,REG,Mike Babcock,0,3,12,30,4,0,53.6,0,2
2012020009,19,home,WIN,REG,Ken Hitchcock,4,9,25,18,5,4,46.4,7,5
2012020010,29,away,TIE,SO,Todd Richards,2,7,21,14,2,1,46.4,5,4
2012020010,18,home,TIE,SO,Barry Trotz,2,8,21,18,1,1,53.6,11,11
2012020011,27,away,WIN,REG,Dave Tippett,3,10,31,8,5,2,51.5,6,9
2012020011,25,home,LOSS,REG,Glen Gulutzan,2,6,22,12,4,2,48.5,6,9
2012020012,21,away,TIE,REG,Joe Sacco,2,6,26,19,3,0,45.8,5,3
2012020012,30,home,TIE,REG,Mike Yeo,2,8,19,11,7,2,54.2,9,3
2012020013,24,away,WIN,REG,Bruce Boudreau,5,6,21,8,3,3,50.7,4,10
2012020013,23,home,LOSS,REG,Alain Vigneault,3,7,20,6,4,2,49.3,3,2
2012020014,4,away,LOSS,REG,Peter Laviolette,2,7,12,25,4,1,46.3,5,5
2012020014,7,home,WIN,REG,Lindy Ruff,3,10,13,21,6,3,53.7,8,9
2012020015,5,away,WIN,REG,Dan Bylsma,4,9,21,15,5,2,42.9,5,7
2012020015,3,home,LOSS,REG,John Tortorella,3,8,30,17,4,1,57.1,7,5
2012020016,28,away,WIN,REG,Todd McLellan,2,7,22,6,6,2,60.9,10,7
2012020016,20,home,LOSS,REG,Bob Hartley,1,8,17,12,3,1,39.1,7,7
2012020017,25,away,LOSS,REG,Glen Gulutzan,0,6,20,8,4,0,48,5,8
2012020017,30,home,WIN,REG,Mike Yeo,1,8,25,10,3,0,52,3,7
2012020018,22,away,TIE,SO,Ralph Krueger,2,8,15,15,4,1,56.1,2,8
2012020018,23,home,TIE,SO,Alain Vigneault,2,7,25,13,5,0,43.9,5,9
2012020019,16,away,WIN,REG,Joel Quenneville,4,7,14,11,5,1,44.4,4,8
