 game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012020122,1,away,WIN,REG,Peter DeBoer,3,6,19,21,3,1,46.6,6,9
2012020122,2,home,LOSS,REG,Jack Capuano,0,5,24,15,7,0,53.4,12,6
2013020444,1,away,LOSS,OT,Peter DeBoer,2,6,26,8,2,1,46.3,3,5
2013020444,3,home,WIN,OT,Alain Vigneault,3,6,33,6,4,1,53.7,8,6
2013020203,4,away,WIN,REG,Craig Berube,1,5,12,10,5,0,60.7,0,5
2013020203,1,home,LOSS,REG,Peter DeBoer,0,3,14,10,5,0,39.3,5,3
2014020451,1,away,TIE,SO,Peter DeBoer,2,7,18,8,2,1,44.4,19,7
2014020451,2,home,TIE,SO,Jack Capuano,2,8,31,6,3,0,55.6,21,7
2013021113,1,away,TIE,SO,Peter DeBoer,1,6,16,4,3,0,52.8,11,10
2013021113,2,home,TIE,SO,Jack Capuano,1,5,46,6,2,0,47.2,13,18
2013020116,3,away,LOSS,REG,Alain Vigneault,0,5,24,8,2,0,49.2,7,3
2013020116,1,home,WIN,REG,Peter DeBoer,2,4,25,6,4,1,50.8,13,12
2013020176,3,away,WIN,REG,Alain Vigneault,3,6,21,25,4,2,59.6,9,6
2013020176,2,home,LOSS,REG,Jack Capuano,2,6,15,29,3,0,40.4,18,10
2012020635,3,away,TIE,REG,John Tortorella,2,10,19,9,5,0,43.5,7,5
2012020635,4,home,TIE,REG,Peter Laviolette,2,5,21,15,2,1,56.5,7,5
2012020006,1,away,WIN,REG,Peter DeBoer,2,7,23,8,2,0,41.2,7,6
2012020006,2,home,LOSS,REG,Jack Capuano,1,4,19,4,4,1,58.8,9,4
2013020729,2,away,LOSS,REG,Jack Capuano,2,7,36,11,3,0,32.8,5,2
2013020729,4,home,WIN,REG,Craig Berube,4,8,34,13,2,0,67.2,8,4
2012020191,2,away,TIE,SO,Jack Capuano,3,7,33,13,1,0,42.1,10,3
2012020191,3,home,TIE,SO,John Tortorella,3,9,29,7,4,1,57.9,9,9
2013020904,3,away,TIE,REG,Alain Vigneault,2,8,28,20,3,1,44.1,7,1
2013020904,4,home,TIE,REG,Craig Berube,2,7,36,18,4,1,55.9,13,6
2014020929,3,away,TIE,REG,Alain Vigneault,2,9,34,6,3,0,44.6,6,0
2014020929,4,home,TIE,REG,Craig Berube,2,8,38,6,3,0,55.4,7,5
2014021174,1,away,LOSS,REG,Adam Oates,1,9,26,4,4,0,42.9,7,2
2014021174,3,home,WIN,REG,Alain Vigneault,4,8,20,10,1,0,57.1,6,15
2014020981,4,away,LOSS,REG,Craig Berube,2,6,30,10,3,0,54.1,2,5
2014020981,1,home,WIN,REG,Adam Oates,3,5,24,8,4,1,45.9,5,9
2014021191,2,away,LOSS,REG,Jack Capuano,2,10,24,11,5,1,51.5,2,1
2014021191,4,home,WIN,REG,Craig Berube,3,6,21,15,3,1,48.5,9,1
2013020748,2,away,TIE,REG,Jack Capuano,3,9,15,10,5,1,52.9,7,4
2013020748,3,home,TIE,REG,Alain Vigneault,3,8,23,10,4,1,47.1,16,7
2012020143,2,away,LOSS,REG,Jack Capuano,1,7,23,4,5,0,47.9,2,5
2012020143,3,home,WIN,REG,John Tortorella,2,6,34,10,2,1,52.1,8,2
2012020582,4,away,LOSS,REG,Peter Laviolette,1,6,18,7,2,0,51,9,0
2012020582,2,home,WIN,REG,Jack Capuano,2,8,19,9,1,0,49,16,6
2013020141,3,away,LOSS,REG,Alain Vigneault,1,7,24,41,2,0,52.7,6,9
2013020141,4,home,WIN,REG,Craig Berube,2,6,22,14,4,0,47.3,15,6
