game_id,team_id,hoa,result,settled_in,head_coach,goals,shots,tackles,pim,powerplayopportunities,powerplaygoals,faceoffwinpercentage,giveaways,takeaways
2012030221,3,away,LOSS,OT,John Tortorella,2,8,44,8,3,0,44.8,17,7
2012030222,3,away,LOSS,REG,John Tortorella,2,9,33,11,5,0,51.7,1,4
2012030223,3,home,LOSS,REG,John Tortorella,1,6,37,2,2,0,38.2,7,9
2012030224,3,home,LOSS,OT,John Tortorella,2,8,40,8,4,1,46.3,9,7
2012030225,3,away,LOSS,REG,John Tortorella,1,7,25,13,2,1,50.9,5,3
2012030111,2,away,LOSS,REG,Jack Capuano,0,6,41,51,4,0,51.6,4,3
2012030112,2,away,LOSS,REG,Jack Capuano,2,10,31,15,4,1,39,2,4
2012030113,2,home,LOSS,OT,Jack Capuano,2,9,35,12,3,0,52.5,14,19
2012030114,2,home,WIN,REG,Jack Capuano,4,6,33,11,4,1,53.7,8,13
2012030115,2,away,LOSS,REG,Jack Capuano,0,7,27,36,2,0,36.2,2,4
2012030116,2,home,WIN,OT,Jack Capuano,3,9,31,2,3,0,60.3,7,15
2012030131,3,away,LOSS,REG,John Tortorella,1,9,41,12,4,0,48.4,7,9
2012030132,3,away,LOSS,OT,John Tortorella,0,6,58,8,3,0,48.6,7,5
2012030133,3,home,LOSS,REG,John Tortorella,2,7,33,6,6,1,47.4,13,11
2012030134,3,home,LOSS,REG,John Tortorella,2,8,38,4,4,1,64.2,4,8
2012030135,3,away,LOSS,OT,John Tortorella,1,6,43,4,4,0,41.7,14,9
2012030136,3,home,WIN,REG,John Tortorella,1,7,33,4,5,0,60,7,6
2012030137,3,away,WIN,REG,John Tortorella,3,6,41,4,2,0,40.6,8,6
2015030141,3,away,LOSS,REG,Alain Vigneault,2,9,50,10,5,1,48.5,2,3
2015030142,3,away,TIE,REG,Alain Vigneault,2,7,57,19,3,0,44.3,3,3
2015030143,3,home,LOSS,REG,Alain Vigneault,1,4,41,10,4,0,46.8,11,11
2015030144,3,home,LOSS,REG,Alain Vigneault,0,7,29,14,4,0,57.7,17,8
2015030145,3,away,LOSS,REG,Alain Vigneault,3,10,47,6,3,1,63.5,5,5
2015030131,4,away,LOSS,REG,Dave Hakstol,0,4,26,35,4,0,54.4,9,7
2015030132,4,away,LOSS,REG,Dave Hakstol,1,10,36,8,4,0,46.8,7,7
2015030133,4,home,LOSS,REG,Dave Hakstol,1,8,45,53,5,0,55.9,17,2
2015030134,4,home,WIN,REG,Dave Hakstol,2,6,43,4,2,1,48.2,12,5
2015030135,4,away,WIN,REG,Dave Hakstol,2,2,17,13,6,0,47.2,5,3
2015030136,4,home,LOSS,REG,Dave Hakstol,0,6,38,10,3,0,59.3,14,7
2014030131,3,home,WIN,REG,Alain Vigneault,2,9,32,2,5,1,42.4,11,8
2014030132,3,home,WIN,REG,Alain Vigneault,3,6,25,8,7,1,50,13,9
2014030133,3,away,WIN,REG,Alain Vigneault,2,6,37,8,2,0,45.9,3,3
2014030134,3,away,WIN,OT,Alain Vigneault,2,6,42,6,3,0,42.9,1,4
2014030135,3,home,WIN,OT,Alain Vigneault,2,9,36,6,3,1,47.1,19,13
2014030311,3,home,WIN,REG,Alain Vigneault,2,7,30,8,2,0,43.4,8,10
2014030312,3,home,LOSS,REG,Alain Vigneault,2,9,28,22,5,2,54.4,14,8
2014030313,3,away,LOSS,OT,Alain Vigneault,3,7,33,6,4,2,45.8,10,6
2014030314,3,away,WIN,REG,Alain Vigneault,3,6,30,26,4,2,43.6,12,6
2014030315,3,home,LOSS,REG,Alain Vigneault,0,6,29,8,4,0,38.5,6,6
2014030316,3,away,WIN,REG,Alain Vigneault,5,8,27,8,3,1,53,8,9
2014030317,3,home,LOSS,REG,Alain Vigneault,0,5,29,0,2,0,62.5,15,5
2015030111,2,away,WIN,REG,Jack Capuano,3,6,40,8,2,1,51.5,10,2
2015030112,2,away,LOSS,REG,Jack Capuano,1,10,32,8,3,0,42.9,9,6
2015030113,2,home,LOSS,OT,Jack Capuano,2,9,48,8,4,2,56.3,24,15
2015030114,2,home,LOSS,REG,Jack Capuano,1,6,28,8,4,1,59.3,10,7
2015030115,2,away,WIN,OT,Jack Capuano,2,10,65,2,5,1,45.3,24,18
2015030116,2,home,WIN,OT,Jack Capuano,2,12,45,6,3,0,54.2,29,9
2014030221,3,home,LOSS,REG,Alain Vigneault,1,8,34,6,2,0,55.7,20,7
2014030222,3,home,WIN,REG,Alain Vigneault,3,8,30,2,4,1,46.6,13,7
2014030223,3,away,LOSS,REG,Alain Vigneault,0,7,31,4,2,0,31,15,7
2014030224,3,away,LOSS,REG,Alain Vigneault,1,7,31,13,1,0,43.3,10,11
2014030225,3,home,WIN,OT,Alain Vigneault,2,10,32,4,2,0,47.7,18,10
2014030226,3,away,LOSS,REG,Alain Vigneault,2,7,30,8,3,1,45.9,14,4
2014030227,3,home,WIN,OT,Alain Vigneault,2,9,32,6,4,1,40.5,12,9
2014030141,2,away,WIN,REG,Jack Capuano,2,6,36,4,2,0,37.1,5,9
2014030142,2,away,WIN,REG,Jack Capuano,3,5,38,2,1,0,49.1,14,4
2014030143,2,home,WIN,OT,Jack Capuano,2,10,44,6,3,0,49.2,6,11
2014030144,2,home,LOSS,OT,Jack Capuano,1,9,50,2,4,0,49.2,22,20
2014030145,2,away,LOSS,REG,Jack Capuano,1,5,49,31,2,0,36.7,9,5
2014030146,2,home,WIN,REG,Jack Capuano,3,9,46,38,1,0,45.2,14,23
2014030147,2,away,LOSS,REG,Jack Capuano,1,2,54,0,1,0,39.6,11,4
2017030141,4,away,LOSS,REG,Dave Hakstol,0,6,39,8,4,0,51.9,7,6
2017030142,4,away,WIN,REG,Dave Hakstol,3,5,31,22,3,2,47.8,3,6
2017030143,4,home,LOSS,REG,Dave Hakstol,1,6,38,16,6,0,46.7,11,5
2017030144,4,home,LOSS,REG,Dave Hakstol,0,6,37,8,4,0,55.1,11,3
2017030145,4,away,TIE,REG,Dave Hakstol,2,6,48,19,1,0,37.7,8,4
2017030146,4,home,LOSS,REG,Dave Hakstol,3,6,37,6,3,0,53.8,13,3
2017030111,1,away,LOSS,REG,John Hynes,2,7,36,2,2,1,47.9,6,4
2017030112,1,away,TIE,REG,John Hynes,3,11,36,10,3,0,34.4,5,4
2017030113,1,home,WIN,REG,John Hynes,3,10,33,64,7,1,55,10,10
2017030114,1,home,LOSS,REG,John Hynes,1,7,25,12,6,1,59.1,11,12
2017030115,1,away,LOSS,REG,John Hynes,1,6,22,10,1,0,40,8,5
2013020177,4,home,LOSS,REG,Craig Berube,2,7,35,4,3,1,47.1,16,10
2012020122,1,away,WIN,REG,Peter DeBoer,3,6,19,21,3,1,46.6,6,9
2012020122,2,home,LOSS,REG,Jack Capuano,0,5,24,15,7,0,53.4,12,6
2013020275,4,away,WIN,REG,Craig Berube,2,5,31,10,2,1,55.7,1,8
2013020411,2,home,LOSS,OT,Jack Capuano,2,5,20,14,2,0,54.2,13,14
2013020580,1,away,WIN,REG,Peter DeBoer,2,6,32,11,1,0,48.8,14,8
2013020580,2,home,LOSS,REG,Jack Capuano,1,7,31,7,3,0,51.2,21,7
2012020320,1,away,TIE,REG,Peter DeBoer,2,7,31,8,4,0,46.3,15,12
2012020632,2,home,WIN,REG,Jack Capuano,3,7,15,12,3,2,46,13,10
2013020887,2,home,WIN,OT,Jack Capuano,3,8,23,13,4,1,44.3,11,9
2013021213,4,away,LOSS,OT,Craig Berube,2,5,24,12,2,1,54,5,4
2013020446,4,away,LOSS,REG,Craig Berube,1,7,21,45,5,0,50.7,7,3
2013020521,1,home,WIN,REG,Peter DeBoer,3,8,12,18,4,1,40,3,10
2012020461,1,home,WIN,REG,Peter DeBoer,2,6,19,4,2,0,57.4,8,6
2013020763,2,home,LOSS,REG,Jack Capuano,2,8,22,9,3,0,41.7,18,7
2012020161,2,home,LOSS,REG,Jack Capuano,2,10,17,6,3,0,51.8,14,10
2012020251,4,home,TIE,REG,Peter Laviolette,3,9,40,22,6,3,41.3,9,7
2012020001,4,home,LOSS,REG,Peter Laviolette,1,6,40,6,5,0,43.5,12,8
2012020239,1,away,WIN,REG,Peter DeBoer,3,9,9,10,6,1,41.5,2,3
2013020444,1,away,LOSS,OT,Peter DeBoer,2,6,26,8,2,1,46.3,3,5
2013020444,3,home,WIN,OT,Alain Vigneault,3,6,33,6,4,1,53.7,8,6
2013020357,1,home,LOSS,REG,Peter DeBoer,1,6,9,4,2,0,42,5,5
2012020681,1,home,WIN,REG,Peter DeBoer,3,6,19,8,4,2,40.7,6,5
2013020408,4,away,LOSS,REG,Craig Berube,0,5,20,9,2,0,62.5,2,4
2013020723,3,away,WIN,REG,Alain Vigneault,2,7,26,6,4,1,50.8,8,5
2013020628,1,away,LOSS,REG,Peter DeBoer,1,5,15,15,4,1,53.6,5,2
2012020050,2,away,TIE,REG,Jack Capuano,2,6,27,13,3,0,39,8,8
2013021096,2,away,TIE,SO,Jack Capuano,2,6,23,6,3,0,43.3,5,8
2013020760,3,home,LOSS,REG,Alain Vigneault,1,8,21,6,3,0,48.3,14,10
2013021027,2,home,LOSS,REG,Jack Capuano,0,9,18,6,3,0,43.3,14,7
2013020250,2,away,LOSS,REG,Jack Capuano,2,6,20,10,1,0,41.3,0,1
2012020521,4,home,WIN,OT,Peter Laviolette,3,8,24,31,4,1,43.9,11,8
2012020396,3,away,LOSS,REG,John Tortorella,1,7,33,9,1,0,58.9,6,2
2012020108,1,away,LOSS,REG,Peter DeBoer,1,4,17,6,2,0,38.2,5,5
2012020598,4,home,LOSS,REG,Peter Laviolette,1,6,26,22,2,0,51.7,8,7
2013020661,1,home,WIN,REG,Peter DeBoer,1,8,8,6,2,0,50,2,5
2013020868,3,away,TIE,SO,Alain Vigneault,3,10,22,14,5,2,50,2,4
2013020203,4,away,WIN,REG,Craig Berube,1,5,12,10,5,0,60.7,0,5
2013020203,1,home,LOSS,REG,Peter DeBoer,0,3,14,10,5,0,39.3,5,3
2013020955,4,away,WIN,OT,Craig Berube,3,7,38,11,2,0,47.7,13,4
2012020495,3,away,LOSS,REG,John Tortorella,0,6,20,4,4,0,41.4,5,5
2014020411,4,away,LOSS,OT,Craig Berube,2,5,29,8,4,1,50,5,9
2014020861,4,home,TIE,SO,Craig Berube,2,9,38,8,4,1,50.8,7,6
2014020643,1,away,TIE,REG,Adam Oates,3,5,20,13,4,2,50,9,3
2014020427,2,away,LOSS,REG,Jack Capuano,3,7,26,8,3,0,42.3,4,7
2014021063,1,away,WIN,REG,Adam Oates,3,6,16,8,2,0,54.3,2,4
2014020827,1,away,LOSS,REG,Adam Oates,1,5,13,6,2,1,42.4,13,7
2014020242,4,home,WIN,REG,Craig Berube,3,6,36,8,3,2,55.7,13,3
2014020243,1,away,WIN,REG,Peter DeBoer,1,7,13,10,3,0,49.2,12,6
2014020212,2,away,WIN,REG,Jack Capuano,1,8,41,10,3,0,50,2,2
2014020253,2,away,LOSS,REG,Jack Capuano,2,6,30,8,4,0,42.1,5,7
2014020486,3,away,TIE,SO,Alain Vigneault,2,8,41,8,2,1,43.5,13,18
2014021060,4,away,LOSS,REG,Craig Berube,1,6,23,10,2,0,50.8,7,10
2014021204,4,home,LOSS,REG,Craig Berube,1,7,35,37,2,0,47.7,8,5
2014020025,3,away,LOSS,REG,Alain Vigneault,2,6,28,25,3,0,49.2,3,5
2014020613,4,home,LOSS,REG,Craig Berube,1,6,35,13,6,1,50.9,4,3
2014020926,1,away,WIN,REG,Adam Oates,2,4,25,11,4,0,34,1,1
2014020451,1,away,TIE,SO,Peter DeBoer,2,7,18,8,2,1,44.4,19,7
2014020451,2,home,TIE,SO,Jack Capuano,2,8,31,6,3,0,55.6,21,7
2014020799,2,home,WIN,REG,Jack Capuano,3,7,47,8,2,0,59.7,12,15
2014020646,4,home,LOSS,REG,Craig Berube,0,7,58,23,4,0,50.9,4,4
2014020997,1,away,LOSS,REG,Adam Oates,2,8,15,8,0,0,47.5,4,4
2014020973,2,away,TIE,SO,Jack Capuano,3,7,40,6,3,1,51.6,1,9
2014020070,4,away,WIN,OT,Craig Berube,4,9,20,6,5,2,60.9,5,5
2014020873,2,away,TIE,SO,Jack Capuano,2,8,41,7,1,0,47.2,8,7
2014020142,4,away,WIN,REG,Craig Berube,3,6,22,14,2,0,50,6,8
2014020348,4,away,LOSS,REG,Craig Berube,2,5,26,8,1,1,64.7,9,6
2014020348,3,home,WIN,REG,Alain Vigneault,3,8,30,2,4,1,35.3,9,3
2014020300,4,home,TIE,REG,Craig Berube,2,9,29,13,4,1,64.3,9,6
2014020708,1,home,TIE,SO,Adam Oates,1,5,14,12,3,0,53.7,1,7
2014020439,2,home,WIN,REG,Jack Capuano,3,10,42,2,3,1,41.2,13,14
2014021163,1,home,TIE,SO,Adam Oates,2,4,20,27,1,0,50,11,7
2014021072,2,away,WIN,REG,Jack Capuano,3,7,42,2,1,0,50,3,4
2014021072,1,home,LOSS,REG,Adam Oates,0,6,28,2,1,0,50,7,5
2014020939,3,home,WIN,REG,Alain Vigneault,2,10,14,6,1,0,46.3,5,13
2014020846,1,home,TIE,SO,Adam Oates,1,8,21,6,4,1,44.4,9,7
2014020481,4,away,WIN,REG,Craig Berube,5,10,35,8,3,0,51.5,10,15
2014020550,1,away,LOSS,REG,Adam Oates,1,3,14,8,3,0,42.6,3,2
2014020985,3,away,WIN,OT,Alain Vigneault,1,9,22,8,2,0,43.1,1,5
2014020683,3,home,WIN,OT,Alain Vigneault,3,8,22,4,3,0,57.8,14,8
2016020045,4,away,LOSS,REG,Dave Hakstol,2,6,30,6,4,2,50.9,12,9
2016020298,2,away,TIE,REG,Jack Capuano,2,6,35,4,2,0,53.4,12,2
2017020731,2,away,LOSS,OT,Doug Weight,2,8,23,4,2,0,46.9,5,3
2016020246,4,home,WIN,REG,Dave Hakstol,3,5,32,2,1,0,55.6,11,10
2016020107,1,home,LOSS,OT,John Hynes,2,8,22,10,4,1,43.3,7,7
2015020981,1,home,LOSS,REG,John Hynes,1,4,21,12,3,0,50.9,7,2
2017020146,2,away,LOSS,REG,Doug Weight,2,8,10,6,5,0,50.8,2,2
2016020716,2,home,TIE,REG,Doug Weight,2,7,23,5,1,0,49.2,14,8
2017020482,1,away,LOSS,OT,John Hynes,1,8,27,6,3,0,49.1,12,5
2017020214,2,home,WIN,REG,Doug Weight,4,7,18,13,2,2,56.2,14,3
2017020930,2,away,TIE,SO,Doug Weight,3,8,30,6,2,0,46,8,3
2016020986,4,away,TIE,REG,Dave Hakstol,2,9,17,4,3,1,57.6,12,5
2015020906,4,home,WIN,REG,Dave Hakstol,3,7,17,6,1,1,43.6,11,5
2015020646,3,away,LOSS,REG,Alain Vigneault,1,8,27,8,3,0,62.7,6,7
2015020646,2,home,WIN,REG,Jack Capuano,3,8,21,10,2,1,37.3,10,9
2016020070,4,home,WIN,REG,Dave Hakstol,4,6,13,12,4,1,49.2,9,3
2016020348,2,away,WIN,REG,Jack Capuano,3,7,22,12,2,0,49.1,16,15
2017020020,2,home,WIN,REG,Doug Weight,4,8,25,10,3,0,52.5,11,6
2015020227,2,away,TIE,REG,Jack Capuano,2,6,38,6,2,0,49.2,7,4
2015020453,1,away,WIN,REG,John Hynes,2,5,10,6,1,0,44.4,2,4
2017021170,3,home,TIE,REG,Alain Vigneault,2,7,17,6,4,0,49.1,15,6
2016020099,4,home,LOSS,REG,Dave Hakstol,2,8,25,11,8,2,51.9,13,4
2017021257,3,away,LOSS,REG,Alain Vigneault,0,4,25,6,1,0,53.7,12,3
2017021257,4,home,WIN,REG,Dave Hakstol,3,10,15,4,2,1,46.3,9,4
2015020007,4,away,LOSS,OT,Dave Hakstol,2,6,26,6,3,1,50.8,8,6
2015021099,2,home,WIN,REG,Jack Capuano,3,5,12,2,3,0,47.5,14,9
2017020696,2,home,LOSS,REG,Doug Weight,2,6,19,2,2,0,50.9,11,4
2016020759,4,home,WIN,REG,Dave Hakstol,3,6,34,2,3,1,54,12,6
2017020059,3,away,LOSS,REG,Alain Vigneault,1,9,13,8,4,0,46.8,5,1
2015020528,2,home,LOSS,REG,Jack Capuano,1,6,27,4,1,0,65.3,9,9
2017020952,2,away,LOSS,REG,Doug Weight,1,7,34,2,2,0,52.7,5,8
2017020952,1,home,WIN,REG,John Hynes,2,8,34,4,1,0,47.3,11,11
2017021081,1,away,WIN,REG,John Hynes,6,7,34,10,2,1,51.5,9,2
2016020305,2,away,LOSS,REG,Jack Capuano,2,7,24,2,1,1,52.1,14,8
2017021218,4,home,LOSS,OT,Dave Hakstol,2,6,20,6,2,0,47.1,15,5
2017020058,1,home,LOSS,REG,John Hynes,2,5,22,22,4,1,59.1,6,6
2015020797,4,home,LOSS,REG,Dave Hakstol,1,7,33,19,7,1,53.8,8,5
2015021069,3,away,LOSS,REG,Alain Vigneault,1,6,19,8,2,0,57.1,15,8
2015021171,1,away,LOSS,REG,John Hynes,1,6,33,16,6,1,56.2,5,4
2016020573,3,away,WIN,REG,Alain Vigneault,3,7,28,6,1,0,35.6,5,6
2016020573,4,home,LOSS,REG,Dave Hakstol,2,8,35,4,3,1,64.4,9,6
2015021204,2,away,WIN,REG,Jack Capuano,2,5,22,10,3,1,56.2,10,7
2015021204,3,home,LOSS,REG,Alain Vigneault,1,9,21,8,4,0,43.8,12,13
2013030311,3,away,WIN,REG,Alain Vigneault,5,7,22,6,7,3,51.4,14,5
2013030312,3,away,WIN,REG,Alain Vigneault,3,7,35,12,3,1,45.8,14,2
2013030313,3,home,LOSS,OT,Alain Vigneault,2,9,26,19,2,0,50,11,10
2013030314,3,home,WIN,OT,Alain Vigneault,3,7,23,18,3,0,60.8,13,8
2013030315,3,away,LOSS,REG,Alain Vigneault,2,6,27,24,7,1,47.8,10,3
2013030316,3,home,WIN,REG,Alain Vigneault,1,8,23,4,4,0,39.3,11,10
2015030211,2,away,TIE,REG,Jack Capuano,3,5,29,4,4,1,60.4,7,4
2015030212,2,away,LOSS,REG,Jack Capuano,1,5,33,18,5,1,46.4,7,3
2015030213,2,home,LOSS,OT,Jack Capuano,2,9,44,10,4,1,58.5,12,14
2015030214,2,home,LOSS,OT,Jack Capuano,1,7,45,6,3,1,56.9,13,12
2015030215,2,away,LOSS,REG,Jack Capuano,0,7,36,14,2,0,42.3,6,4
2013030221,3,away,WIN,OT,Alain Vigneault,3,6,26,8,4,0,52.2,4,1
2013030222,3,away,LOSS,REG,Alain Vigneault,0,5,32,10,4,0,47,3,3
2013030223,3,home,LOSS,REG,Alain Vigneault,0,8,32,2,5,0,44.1,20,11
2013030224,3,home,TIE,REG,Alain Vigneault,2,3,28,6,2,0,36.7,25,9
2013030225,3,away,WIN,REG,Alain Vigneault,3,8,28,14,3,2,40.3,8,3
2013030226,3,home,WIN,REG,Alain Vigneault,3,7,31,12,6,0,42.6,16,12
2013030227,3,away,WIN,REG,Alain Vigneault,2,5,33,4,2,1,44.9,1,5
2013030411,3,away,LOSS,OT,Alain Vigneault,2,6,33,10,3,0,49.1,10,1
2013030412,3,away,LOSS,OT,Alain Vigneault,2,9,51,8,5,1,49.1,15,4
2013030413,3,home,LOSS,REG,Alain Vigneault,0,8,25,8,6,0,47.9,11,8
2013030414,3,home,WIN,REG,Alain Vigneault,2,4,32,6,3,0,36.9,10,8
2013030415,3,away,LOSS,OT,Alain Vigneault,2,7,42,8,5,1,49.5,15,4
2013030141,4,away,LOSS,REG,Craig Berube,1,3,37,14,1,0,46.9,4,8
2013030141,3,home,WIN,REG,Alain Vigneault,2,9,32,4,6,2,53.1,16,10
2013030142,4,away,TIE,REG,Craig Berube,2,6,33,18,3,2,45.6,5,5
2013030142,3,home,TIE,REG,Alain Vigneault,2,8,30,12,6,1,54.4,12,8
2013030143,3,away,WIN,REG,Alain Vigneault,2,5,39,12,4,0,45.9,9,6
2013030143,4,home,LOSS,REG,Craig Berube,1,8,39,10,5,0,54.1,6,4
2013030144,3,away,LOSS,REG,Alain Vigneault,1,9,33,6,4,0,42.6,4,2
