game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012030221,3,away,LOSS,OT,John Tortorella,2,8,44,8,3,0,44.8,17,7
2012030221,6,home,WIN,OT,Claude Julien,3,12,51,6,4,1,55.2,4,5
2012030222,3,away,LOSS,REG,John Tortorella,2,9,33,11,5,0,51.7,1,4
2012030311,5,home,LOSS,REG,Dan Bylsma,0,7,34,28,4,0,33.3,8,9
2012030231,17,away,LOSS,REG,Mike Babcock,1,5,43,10,3,0,52.5,6,4
2012030231,16,home,WIN,REG,Joel Quenneville,2,10,24,10,3,1,47.5,2,11
2012030232,17,away,WIN,REG,Mike Babcock,2,7,26,6,4,0,55.4,6,6
2012030121,8,home,TIE,REG,Michel Therrien,2,12,24,6,5,1,60.6,11,10
2012030122,9,away,LOSS,REG,Paul MacLean,1,7,26,8,4,0,42.1,4,0
2012030122,8,home,WIN,REG,Michel Therrien,3,8,37,12,2,0,57.9,7,6
2012030154,30,home,LOSS,REG,Mike Yeo,0,6,20,4,6,0,46.3,14,4
2012030155,30,away,LOSS,REG,Mike Yeo,1,5,32,18,2,0,52.5,6,4
2012030162,17,away,WIN,OT,Mike Babcock,3,8,22,10,6,3,61.5,5,4
2012030162,24,home,LOSS,OT,Bruce Boudreau,2,8,37,12,5,1,38.5,11,3
2014020047,17,home,TIE,SO,Mike Babcock,2,5,19,6,5,1,47.5,6,6
2014020459,6,away,TIE,SO,Claude Julien,2,8,21,8,3,0,48.6,4,4
2014020459,18,home,TIE,SO,Peter Laviolette,2,10,15,6,4,1,51.4,12,4
2014020115,13,away,LOSS,OT,Gerard Gallant,1,6,26,16,2,0,46,5,6
2014020115,53,home,WIN,OT,Dave Tippett,2,10,31,4,8,2,54,5,5
2014020507,4,away,WIN,REG,Craig Berube,3,7,23,12,1,0,49.3,2,4
2014020507,30,home,LOSS,REG,Mike Yeo,2,6,19,4,5,1,50.7,9,7
2014020873,15,home,TIE,SO,Barry Trotz,2,6,29,7,1,0,52.8,9,10
2014020142,4,away,WIN,REG,Craig Berube,3,6,22,14,2,0,50,6,8
2014020142,14,home,LOSS,REG,Jon Cooper,2,8,24,8,5,2,50,8,9
2014021224,17,away,WIN,REG,Mike Babcock,2,7,15,4,1,0,48.4,6,9
2017021124,12,home,LOSS,REG,Bill Peters,3,8,24,2,2,1,60.4,13,17
2015020981,5,away,WIN,REG,Mike Sullivan,4,7,10,10,4,1,49.1,3,2
2015020981,1,home,LOSS,REG,John Hynes,1,4,21,12,3,0,50.9,7,2
2017020146,2,away,LOSS,REG,Doug Weight,2,8,10,6,5,0,50.8,2,2
2017020146,30,home,WIN,REG,Bruce Boudreau,4,8,11,10,3,0,49.2,3,5
2016020716,29,away,TIE,REG,John Tortorella,2,5,24,7,0,0,50.8,11,6
2016020716,2,home,TIE,REG,Doug Weight,2,7,23,5,1,0,49.2,14,8
2017020001,10,away,WIN,REG,Mike Babcock,5,7,16,16,4,2,55.6,10,1
