game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012030135,3,away,LOSS,OT,John Tortorella,1,6,43,4,4,0,41.7,14,9
2014030315,14,away,WIN,REG,Jon Cooper,2,5,29,10,3,1,61.5,7,7
2016030145,29,away,LOSS,REG,John Tortorella,2,12,37,8,3,1,41.8,5,3
2014030315,3,home,LOSS,REG,Alain Vigneault,0,6,29,8,4,0,38.5,6,6
2016030145,5,home,WIN,REG,Mike Sullivan,3,8,18,6,4,2,58.2,5,6
2017030412,15,away,WIN,REG,Barry Trotz,3,6,46,14,2,1,41.5,4,6
2017030412,54,home,LOSS,REG,Gerard Gallant,2,9,39,23,5,1,58.5,12,19
2012020681,8,away,LOSS,REG,Michel Therrien,2,5,15,8,4,1,59.3,4,6
2012020681,1,home,WIN,REG,Peter DeBoer,3,6,19,8,4,2,40.7,6,5
2014020261,52,away,WIN,OT,Paul Maurice,3,6,30,21,8,0,45.2,7,2
2014020261,30,home,LOSS,OT,Mike Yeo,2,6,21,27,5,1,54.8,6,3
2014020194,10,away,TIE,SO,Randy Carlyle,3,9,33,8,2,1,46.4,3,22
2014020194,21,home,TIE,SO,Patrick Roy,3,8,40,6,3,0,53.6,4,13
2014020851,25,away,WIN,REG,Lindy Ruff,2,5,13,11,4,1,40.4,2,3
2014020846,7,away,TIE,SO,Ted Nolan,1,6,35,8,3,0,55.6,6,2
2015020619,10,away,LOSS,REG,Mike Babcock,0,7,24,13,3,0,48.1,9,8
2017021257,3,away,LOSS,REG,Alain Vigneault,0,4,25,6,1,0,53.7,12,3
2012030211,9,away,LOSS,REG,Paul MacLean,1,9,26,36,5,0,54.4,4,3
2013030234,16,away,TIE,REG,Joel Quenneville,2,5,7,10,2,0,42.4,4,4
2015030172,18,away,WIN,REG,Peter Laviolette,3,6,32,4,5,1,36.2,11,6
