game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,venue,venue_link
2014030315,20142015,Postseason,5/25/15,14,3,2,0,BBVA Stadium,/api/v1/venues/null
2016030145,20162017,Postseason,4/20/17,29,5,2,3,Children's Mercy Park,/api/v1/venues/null
2017030412,20172018,Postseason,5/31/18,15,54,3,2,Cheney Stadium,/api/v1/venues/null
2012020681,20122013,Regular Season,4/23/13,8,1,2,3,Mercedes-Benz Stadium,/api/v1/venues/null
2014020261,20142015,Regular Season,11/16/14,52,30,3,2,Exploria Stadium,/api/v1/venues/null
2014020194,20142015,Regular Season,11/7/14,10,21,3,3,BC Place,/api/v1/venues/null
2014030411,20142015,Postseason,6/4/15,16,14,2,1,Audi Field,/api/v1/venues/null
2014030412,20142015,Postseason,6/6/15,16,14,3,2,Audi Field,/api/v1/venues/null
2012030151,20122013,Postseason,5/1/13,30,16,1,2,Gillette Stadium,/api/v1/venues/null
2012030152,20122013,Postseason,5/4/13,30,16,2,3,Gillette Stadium,/api/v1/venues/null
2012030153,20122013,Postseason,5/5/13,16,30,2,3,Exploria Stadium,/api/v1/venues/null
2012030154,20122013,Postseason,5/8/13,16,30,3,0,Exploria Stadium,/api/v1/venues/null
2012030155,20122013,Postseason,5/10/13,30,16,1,3,Gillette Stadium,/api/v1/venues/null
2012030131,20122013,Postseason,5/2/13,3,15,1,3,Providence Park,/api/v1/venues/null
2012030132,20122013,Postseason,5/4/13,3,15,0,1,Providence Park,/api/v1/venues/null
2012020715,20122013,Regular Season,4/27/13,30,21,3,1,BC Place,/api/v1/venues/null
2012020324,20122013,Regular Season,3/6/13,14,1,3,2,Mercedes-Benz Stadium,/api/v1/venues/null
2013020651,20132014,Regular Season,1/8/14,14,52,2,2,Providence Park,/api/v1/venues/null
2013020387,20132014,Regular Season,11/29/13,21,30,3,1,Exploria Stadium,/api/v1/venues/null
2013020413,20132014,Regular Season,12/4/13,14,29,0,1,Exploria Stadium,/api/v1/venues/null
2013020606,20132014,Regular Season,1/1/14,29,21,3,3,BC Place,/api/v1/venues/null
2013020002,20132014,Regular Season,10/2/13,15,16,2,4,Gillette Stadium,/api/v1/venues/null
2013021207,20132014,Regular Season,4/11/14,29,14,2,3,Audi Field,/api/v1/venues/null
2013020697,20132014,Regular Season,1/15/14,14,3,2,1,BBVA Stadium,/api/v1/venues/null
2013020886,20132014,Regular Season,2/28/14,29,1,2,3,Mercedes-Benz Stadium,/api/v1/venues/null
2013020679,20132014,Regular Season,1/12/14,29,52,4,3,Providence Park,/api/v1/venues/null
2013020150,20132014,Regular Season,10/25/13,10,29,2,3,Exploria Stadium,/api/v1/venues/null
2014020169,20142015,Regular Season,11/3/14,52,16,1,0,Gillette Stadium,/api/v1/venues/null
2014020975,20142015,Regular Season,3/8/15,21,29,2,0,Exploria Stadium,/api/v1/venues/null
2014020154,20142015,Regular Season,11/1/14,16,10,2,3,WakeMed Soccer Park,/api/v1/venues/null
2014020944,20142015,Regular Season,3/4/15,15,29,3,3,Exploria Stadium,/api/v1/venues/null
2014020127,20142015,Regular Season,10/28/14,1,5,3,6,Children's Mercy Park,/api/v1/venues/null
2015020790,20152016,Regular Season,2/9/16,1,3,1,2,BBVA Stadium,/api/v1/venues/null
2015020771,20152016,Regular Season,2/6/16,5,14,3,4,Audi Field,/api/v1/venues/null
2015020856,20152016,Regular Season,2/18/16,8,21,2,3,BC Place,/api/v1/venues/null
2015021222,20152016,Regular Season,4/9/16,10,1,1,3,Mercedes-Benz Stadium,/api/v1/venues/null
2015020940,20152016,Regular Season,3/1/16,14,10,2,1,WakeMed Soccer Park,/api/v1/venues/null
2015021220,20152016,Regular Season,4/9/16,14,8,2,3,Red Bull Arena,/api/v1/venues/null
2015020930,20152016,Regular Season,2/28/16,15,16,2,3,Gillette Stadium,/api/v1/venues/null
2015020626,20152016,Regular Season,1/11/16,21,16,3,4,Gillette Stadium,/api/v1/venues/null
2015020760,20152016,Regular Season,2/5/16,30,3,2,2,BBVA Stadium,/api/v1/venues/null
2015020181,20152016,Regular Season,11/5/15,52,10,2,2,WakeMed Soccer Park,/api/v1/venues/null
2016020354,20162017,Regular Season,12/2/16,29,21,3,2,BC Place,/api/v1/venues/null
2016020109,20162017,Regular Season,10/29/16,52,21,1,0,BC Place,/api/v1/venues/null
2016020850,20162017,Regular Season,2/17/17,52,5,3,2,Children's Mercy Park,/api/v1/venues/null
2016020885,20162017,Regular Season,2/22/17,52,10,2,3,WakeMed Soccer Park,/api/v1/venues/null
2016021017,20162017,Regular Season,3/13/17,14,3,3,2,BBVA Stadium,/api/v1/venues/null
2016020364,20162017,Regular Season,12/4/16,15,14,1,1,Audi Field,/api/v1/venues/null
2016020138,20162017,Regular Season,11/2/16,15,52,3,2,Providence Park,/api/v1/venues/null
2016020869,20162017,Regular Season,2/19/17,15,3,1,2,BBVA Stadium,/api/v1/venues/null
2016021027,20162017,Regular Season,3/14/17,16,8,2,2,Red Bull Arena,/api/v1/venues/null
2017030312,20172018,Postseason,5/14/18,15,14,4,2,Audi Field,/api/v1/venues/null
2017030162,20172018,Postseason,4/13/18,30,52,1,2,Providence Park,/api/v1/venues/null
2017020395,20172018,Regular Season,12/2/17,1,21,2,1,BC Place,/api/v1/venues/null
2017020741,20172018,Regular Season,1/24/18,29,54,3,4,Cheney Stadium,/api/v1/venues/null
2017030165,20172018,Postseason,4/20/18,30,52,0,3,Providence Park,/api/v1/venues/null
2017020799,20172018,Regular Season,2/4/18,21,52,0,3,Providence Park,/api/v1/venues/null
2017020295,20172018,Regular Season,11/18/17,1,52,2,3,Providence Park,/api/v1/venues/null
2017020108,20172018,Regular Season,10/21/17,30,52,3,2,Providence Park,/api/v1/venues/null
2017020314,20172018,Regular Season,11/21/17,1,30,2,3,Exploria Stadium,/api/v1/venues/null
