game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,venue,venue_link
2012030221,20122013,Postseason,5/16/13,3,6,2,3,Toyota Stadium,/api/v1/venues/null
2012030135,20122013,Postseason,5/10/13,3,15,1,2,Providence Park,/api/v1/venues/null
2016030173,20162017,Postseason,4/18/17,24,20,3,2,BMO Field,/api/v1/venues/null
2015030145,20152016,Postseason,4/23/16,3,5,3,4,Children's Mercy Park,/api/v1/venues/null
2015030182,20152016,Postseason,4/17/16,28,26,2,1,Nippert Stadium,/api/v1/venues/null
2015030185,20152016,Postseason,4/23/16,28,26,4,3,Nippert Stadium,/api/v1/venues/null
2013030164,20132014,Postseason,4/24/14,19,16,3,2,Gillette Stadium,/api/v1/venues/null
2013030166,20132014,Postseason,4/27/14,19,16,1,3,Gillette Stadium,/api/v1/venues/null
2015030132,20152016,Postseason,4/16/16,4,15,1,2,Providence Park,/api/v1/venues/null
2015030135,20152016,Postseason,4/22/16,4,15,2,0,Providence Park,/api/v1/venues/null
2014030131,20142015,Postseason,4/16/15,5,3,1,2,BBVA Stadium,/api/v1/venues/null
2016030236,20162017,Postseason,5/7/17,19,18,1,3,Allianz Field,/api/v1/venues/null
2015030164,20152016,Postseason,4/20/16,19,16,2,3,Gillette Stadium,/api/v1/venues/null
2014030223,20142015,Postseason,5/4/15,3,15,0,1,Providence Park,/api/v1/venues/null
2014030225,20142015,Postseason,5/8/15,15,3,1,2,BBVA Stadium,/api/v1/venues/null
2014020427,20142015,Regular Season,12/12/14,2,19,3,4,Talen Energy Stadium,/api/v1/venues/null
2014020206,20142015,Regular Season,11/9/14,52,9,1,1,Yankee Stadium,/api/v1/venues/null
2014020988,20142015,Regular Season,3/10/15,24,23,1,2,Saputo Stadium,/api/v1/venues/null
2014020071,20142015,Regular Season,10/19/14,18,16,1,2,Gillette Stadium,/api/v1/venues/null
2017020614,20172018,Regular Season,1/4/18,9,17,1,2,Dignity Health Sports Park,/api/v1/venues/null
2017020728,20172018,Regular Season,1/23/18,9,30,1,3,Exploria Stadium,/api/v1/venues/null
2015020909,20152016,Regular Season,2/26/16,53,13,2,3,BBVA Stadium,/api/v1/venues/null
2017020154,20172018,Regular Season,10/28/17,25,20,2,1,BMO Field,/api/v1/venues/null
2017020911,20172018,Regular Season,2/19/18,25,28,2,3,Banc of California Stadium,/api/v1/venues/null
2014030121,20142015,Postseason,4/16/15,17,14,3,2,Audi Field,/api/v1/venues/null
2014030123,20142015,Postseason,4/21/15,14,17,0,3,Dignity Health Sports Park,/api/v1/venues/null
2016030121,20162017,Postseason,4/12/17,6,9,2,1,Yankee Stadium,/api/v1/venues/null
2016030126,20162017,Postseason,4/23/17,9,6,3,2,Toyota Stadium,/api/v1/venues/null
2016030317,20162017,Postseason,5/26/17,9,5,2,3,Children's Mercy Park,/api/v1/venues/null
2014030161,20142015,Postseason,4/16/15,16,18,2,3,Allianz Field,/api/v1/venues/null
2014030163,20142015,Postseason,4/19/15,18,16,2,2,Gillette Stadium,/api/v1/venues/null
2013020473,20132014,Regular Season,12/13/13,29,3,2,2,BBVA Stadium,/api/v1/venues/null
2014020364,20142015,Regular Season,12/3/14,1,5,0,1,Children's Mercy Park,/api/v1/venues/null
2014020158,20142015,Regular Season,11/1/14,52,3,0,0,BBVA Stadium,/api/v1/venues/null
2014020403,20142015,Regular Season,12/7/14,17,12,3,1,Yurcak Field,/api/v1/venues/null
2015021058,20152016,Regular Season,3/18/16,14,25,3,2,SeatGeek Stadium,/api/v1/venues/null
2016020709,20162017,Regular Season,1/24/17,12,15,1,4,Providence Park,/api/v1/venues/null
2015020248,20152016,Regular Season,11/15/15,28,7,2,1,Rio Tinto Stadium,/api/v1/venues/null
2015020459,20152016,Regular Season,12/16/15,20,18,2,1,Allianz Field,/api/v1/venues/null
2015020967,20152016,Regular Season,3/5/16,22,29,3,4,Exploria Stadium,/api/v1/venues/null
2015020707,20152016,Regular Season,1/23/16,16,13,0,2,BBVA Stadium,/api/v1/venues/null
2015021109,20152016,Regular Season,3/25/16,4,21,2,2,BC Place,/api/v1/venues/null
2017020655,20172018,Regular Season,1/10/18,16,9,6,2,Yankee Stadium,/api/v1/venues/null
2015020710,20152016,Regular Season,1/23/16,30,28,3,2,Banc of California Stadium,/api/v1/venues/null
2017020327,20172018,Regular Season,11/23/17,20,29,0,1,Exploria Stadium,/api/v1/venues/null
2017020834,20172018,Regular Season,2/9/18,54,28,3,3,Banc of California Stadium,/api/v1/venues/null
2016020282,20162017,Regular Season,11/22/16,1,28,0,2,Banc of California Stadium,/api/v1/venues/null
2017020014,20172018,Regular Season,10/6/17,13,14,3,3,Audi Field,/api/v1/venues/null
2015020812,20152016,Regular Season,2/12/16,21,9,2,3,Yankee Stadium,/api/v1/venues/null
2016020315,20162017,Regular Season,11/27/16,8,17,2,1,Dignity Health Sports Park,/api/v1/venues/null
2017021055,20172018,Regular Season,3/11/18,5,10,2,3,WakeMed Soccer Park,/api/v1/venues/null
2016020831,20162017,Regular Season,2/12/17,25,18,3,3,Allianz Field,/api/v1/venues/null
2017021213,20172018,Regular Season,4/1/18,7,18,5,2,Allianz Field,/api/v1/venues/null
2017021151,20172018,Regular Season,3/24/18,54,21,1,1,BC Place,/api/v1/venues/null
2015020550,20152016,Regular Season,12/30/15,16,53,5,3,Mapfre Stadium,/api/v1/venues/null
2016020258,20162017,Regular Season,11/19/16,8,12,2,3,Yurcak Field,/api/v1/venues/null
2016020278,20162017,Regular Season,11/22/16,21,29,3,2,Exploria Stadium,/api/v1/venues/null
2017020830,20172018,Regular Season,2/9/18,23,14,2,3,Audi Field,/api/v1/venues/null
