game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012030221,3,away,LOSS,OT,John Tortorella,2,8,44,8,3,0,44.8,17,7
2012030312,6,away,WIN,REG,Claude Julien,4,7,19,6,1,0,50.9,2,5
2012030115,5,home,WIN,REG,Dan Bylsma,2,7,33,30,5,1,63.8,8,5
2012030134,3,home,LOSS,REG,John Tortorella,2,8,38,4,4,1,64.2,4,8
2013030245,24,home,LOSS,REG,Bruce Boudreau,2,6,31,10,3,1,42.1,10,8
2014030234,30,home,WIN,REG,Mike Yeo,3,9,24,4,3,1,50,9,2
2012020511,15,away,TIE,SO,Adam Oates,3,9,19,6,4,1,52.5,3,2
2013020885,19,away,LOSS,REG,Ken Hitchcock,0,5,31,8,3,0,46.4,7,5
2013020521,9,away,LOSS,REG,Paul MacLean,2,6,17,20,3,2,60,6,10
2013020521,1,home,WIN,REG,Peter DeBoer,3,8,12,18,4,1,40,3,10
2013020192,29,away,TIE,REG,Todd Richards,2,9,30,13,4,0,45.6,3,2
2013020192,5,home,TIE,REG,Dan Bylsma,2,6,21,13,4,2,54.4,4,4
2013020874,9,away,LOSS,REG,Paul MacLean,2,7,22,13,3,1,46.6,13,7
2013020874,6,home,WIN,REG,Claude Julien,5,10,19,11,4,1,53.4,8,11
2012020417,28,away,LOSS,REG,Todd McLellan,2,5,36,7,2,1,52.7,10,6
2012020417,26,home,WIN,REG,Darryl Sutter,3,6,46,9,1,0,47.3,9,4
2014020526,26,home,WIN,REG,Darryl Sutter,3,7,36,4,4,2,46.3,17,4
2014021039,22,home,WIN,REG,Todd Nelson,2,8,11,10,6,2,51.5,11,8
2014020331,20,away,WIN,REG,Bob Hartley,2,4,22,8,2,1,38.7,13,6
2014020643,1,away,TIE,REG,Adam Oates,3,5,20,13,4,2,50,9,3
2014021045,18,home,LOSS,OT,Peter Laviolette,2,6,21,0,4,0,42.9,7,5
2014020827,18,home,WIN,REG,Peter Laviolette,3,9,13,6,2,0,57.6,9,12
2014020528,24,home,WIN,OT,Bruce Boudreau,2,7,24,7,4,0,57.4,9,8
2014021059,5,away,LOSS,REG,Mike Johnston,1,8,26,14,4,1,36.9,4,8
2014020988,23,home,WIN,REG,Willie Desjardins,2,4,18,10,1,0,42,6,6
2014020124,30,away,LOSS,REG,Mike Yeo,2,10,18,6,2,0,43.1,5,4
2014020263,16,home,WIN,REG,Joel Quenneville,4,11,14,7,4,1,50.7,8,14
2014020677,10,home,LOSS,REG,Peter Horachek,1,8,26,28,4,1,36.2,5,14
2014020646,23,away,WIN,REG,Willie Desjardins,2,5,39,13,3,2,49.1,8,6
2014020914,19,away,TIE,SO,Ken Hitchcock,1,7,21,8,2,0,47.7,9,5
2013020396,1,home,WIN,OT,Peter DeBoer,1,6,14,13,2,0,42.6,6,3
2013020019,52,home,TIE,REG,Claude Noel,3,8,31,15,6,1,36.5,12,4
2014020800,3,away,WIN,REG,Alain Vigneault,3,9,28,4,2,0,40.3,10,10
2014020839,9,home,LOSS,REG,Dave Cameron,3,8,24,10,3,0,44.8,4,10
2014020110,25,away,LOSS,REG,Lindy Ruff,3,7,21,4,5,1,43.8,9,5
2014020527,13,home,WIN,REG,Gerard Gallant,4,8,26,8,3,1,67.2,1,6
2012020646,8,home,WIN,REG,Michel Therrien,3,8,13,4,6,1,46,5,3
2013020452,13,away,LOSS,REG,Peter Horachek,2,8,23,15,5,0,47.8,3,4
2012020176,27,away,WIN,OT,Dave Tippett,3,7,12,30,5,0,57.4,5,9
2014020120,28,away,WIN,REG,Todd McLellan,2,9,21,75,5,2,45.2,9,4
2014020009,17,home,WIN,REG,Mike Babcock,2,6,22,10,4,1,55.4,6,7
2017020982,3,away,WIN,OT,Alain Vigneault,4,6,25,6,2,0,41.5,6,4
2015020702,30,away,WIN,REG,Mike Yeo,3,7,21,4,2,1,59.2,7,3
2016020101,13,away,LOSS,REG,Gerard Gallant,2,7,29,6,3,1,47.4,12,17
2016020667,1,away,LOSS,REG,John Hynes,2,6,15,6,1,1,53.8,3,4
2015020674,16,home,WIN,REG,Joel Quenneville,3,8,11,4,4,1,55.4,9,5
2017020602,10,home,LOSS,REG,Mike Babcock,0,7,16,8,2,0,55.8,7,5
2016020424,19,away,LOSS,REG,Ken Hitchcock,1,5,12,11,3,0,47.4,0,4
2015020713,24,away,LOSS,REG,Bruce Boudreau,2,8,19,8,4,0,43.8,4,3
2015020204,12,home,WIN,OT,Bill Peters,3,11,24,4,3,1,63.1,7,9
2016020202,28,away,TIE,REG,Peter DeBoer,2,7,16,2,2,0,56.9,10,6
2015020852,14,home,TIE,REG,Jon Cooper,2,7,23,16,2,0,39.6,5,6
