game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2014020512,10,away,WIN,REG,Randy Carlyle,2,6,19,19,5,1,46.5,12,5
2014020512,25,home,LOSS,REG,Lindy Ruff,0,10,18,21,4,0,53.5,17,11
2014021127,25,away,LOSS,OT,Lindy Ruff,2,10,14,13,1,0,53.8,9,5
2014021127,23,home,WIN,OT,Willie Desjardins,3,9,20,9,3,2,46.2,7,10
2014020148,10,away,WIN,REG,Randy Carlyle,2,6,23,8,2,1,58.6,4,8
2014020148,29,home,LOSS,REG,Todd Richards,1,7,37,4,4,1,41.4,8,11
2014020268,28,away,LOSS,REG,Todd McLellan,1,7,5,6,4,1,63,1,1
2014020268,7,home,WIN,REG,Ted Nolan,2,3,18,10,2,0,37,3,3
2014020487,16,away,TIE,SO,Joel Quenneville,2,10,4,8,4,0,56.9,5,8
2014020487,29,home,TIE,SO,Todd Richards,2,4,33,12,2,0,43.1,10,5
2014020481,4,away,WIN,REG,Craig Berube,5,10,35,8,3,0,51.5,10,15
2014020481,10,home,LOSS,REG,Randy Carlyle,2,6,43,6,4,1,48.5,8,14
2014020492,25,away,TIE,SO,Lindy Ruff,3,11,24,9,3,1,42.6,6,11
2014020492,22,home,TIE,SO,Craig MacTavish,3,7,37,13,1,1,57.4,13,8
2014020927,53,away,LOSS,REG,Dave Tippett,1,8,21,10,1,0,40.7,8,7
2014020927,6,home,WIN,REG,Claude Julien,2,8,24,2,5,1,59.3,6,5
2014021085,30,away,WIN,REG,Mike Yeo,2,8,33,13,3,0,42.6,9,8
2014021085,10,home,LOSS,REG,Peter Horachek,1,9,32,11,4,0,57.4,10,14
2014020550,1,away,LOSS,REG,Adam Oates,1,3,14,8,3,0,42.6,3,2
2014020550,17,home,WIN,REG,Mike Babcock,3,7,17,6,4,0,57.4,4,10
2013020446,4,away,LOSS,REG,Craig Berube,1,7,21,45,5,0,50.7,7,3
2013020446,25,home,WIN,REG,Lindy Ruff,3,8,18,20,5,0,49.3,13,6
2013020521,9,away,LOSS,REG,Paul MacLean,2,6,17,20,3,2,60,6,10
2013020521,1,home,WIN,REG,Peter DeBoer,3,8,12,18,4,1,40,3,10
2013020192,29,away,TIE,REG,Todd Richards,2,9,30,13,4,0,45.6,3,2
2013020192,5,home,TIE,REG,Dan Bylsma,2,6,21,13,4,2,54.4,4,4
2013020763,5,away,WIN,REG,Dan Bylsma,4,7,13,11,2,1,58.3,14,7
2013020763,2,home,LOSS,REG,Jack Capuano,2,8,22,9,3,0,41.7,18,7
2013020293,28,away,WIN,REG,Todd McLellan,3,9,11,8,6,1,54.2,3,5
2013020293,22,home,LOSS,REG,Dallas Eakins,1,7,22,12,3,1,45.8,16,7
2013020273,28,away,WIN,OT,Todd McLellan,3,8,5,4,2,1,60.6,8,5
2013020273,20,home,LOSS,OT,Bob Hartley,2,3,20,4,2,1,39.4,15,3
2013020959,29,away,WIN,REG,Todd Richards,1,9,25,7,5,0,49.2,10,5
2013020959,18,home,LOSS,REG,Barry Trotz,0,7,18,15,1,0,50.8,8,5
2013020038,27,away,LOSS,REG,Dave Tippett,1,8,34,16,3,0,49.1,9,8
2013020038,2,home,WIN,REG,Jack Capuano,4,7,15,10,6,2,50.9,15,8
2013020221,22,away,LOSS,OT,Dallas Eakins,2,6,41,4,3,1,45.5,1,7
2013020221,13,home,WIN,OT,Kevin Dineen,3,5,42,8,1,0,54.5,6,7
2013020579,17,away,LOSS,REG,Mike Babcock,2,7,18,12,5,2,48.5,1,5
2013020579,13,home,WIN,REG,Peter Horachek,3,8,37,10,6,1,51.5,6,6
2012020364,20,away,LOSS,REG,Bob Hartley,2,4,38,17,4,1,52.9,6,5
2012020364,26,home,WIN,REG,Darryl Sutter,4,6,29,13,1,1,47.1,12,6
2012020003,16,away,WIN,REG,Joel Quenneville,3,5,22,10,5,1,49.2,7,1
2012020003,26,home,LOSS,REG,Darryl Sutter,2,5,39,10,5,0,50.8,14,7
2012020364,20,away,LOSS,REG,Bob Hartley,2,4,38,17,4,1,52.9,6,5
2012020364,26,home,WIN,REG,Darryl Sutter,4,6,29,13,1,1,47.1,12,6
2012020018,22,away,TIE,SO,Ralph Krueger,2,8,15,15,4,1,56.1,2,8
2012020018,23,home,TIE,SO,Alain Vigneault,2,7,25,13,5,0,43.9,5,9
2012020439,30,away,TIE,REG,Mike Yeo,2,4,15,12,3,2,54.1,7,3
2012020439,17,home,TIE,REG,Mike Babcock,2,9,18,8,5,1,45.9,6,11
2012020681,8,away,LOSS,REG,Michel Therrien,2,5,15,8,4,1,59.3,4,6
2012020681,1,home,WIN,REG,Peter DeBoer,3,6,19,8,4,2,40.7,6,5
2012020204,29,away,LOSS,REG,Todd Richards,1,3,31,10,4,0,51.1,9,2
2012020204,26,home,WIN,REG,Darryl Sutter,2,5,23,8,5,1,48.9,14,6
2012020381,14,away,WIN,REG,Guy Boucher,3,3,40,8,2,1,48.6,4,3
2012020381,13,home,LOSS,REG,Kevin Dineen,2,9,20,4,4,0,51.4,5,7
2012020141,8,away,TIE,SO,Michel Therrien,2,8,20,16,4,1,46,6,5
2012020141,7,home,TIE,SO,Lindy Ruff,2,10,15,10,7,1,54,8,3
2012020212,5,away,LOSS,REG,Dan Bylsma,2,8,18,15,4,1,50,11,4
2012020212,7,home,WIN,REG,Lindy Ruff,3,8,29,25,4,1,50,12,8
2012020590,26,away,LOSS,REG,Darryl Sutter,1,7,30,8,5,1,49.2,6,7
2012020590,25,home,WIN,REG,Glen Gulutzan,3,7,34,12,4,0,50.8,12,11

