game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
e2012030221,3,away,LOSS,OT,John Tortorella,2,8,44,8,3,0,44.8,17,7
2012030221,6,home,WIN,OT,Claude Julien,3,12,51,6,4,1,55.2,4,5
2012030312,5,home,LOSS,REG,Dan Bylsma,1,6,37,4,2,0,49.1,12,5
2012030231,17,away,LOSS,REG,Mike Babcock,1,5,43,10,3,0,52.5,6,4
2012030231,16,home,WIN,REG,Joel Quenneville,2,10,24,10,3,1,47.5,2,11
2012030121,9,away,TIE,REG,Paul MacLean,2,7,31,23,2,0,39.4,9,1
2012030122,8,home,WIN,REG,Michel Therrien,3,8,37,12,2,0,57.9,7,6
2012030151,30,away,LOSS,OT,Mike Yeo,1,6,36,6,4,0,50,9,10
2012030182,26,away,LOSS,REG,Darryl Sutter,1,7,38,8,4,1,44.8,2,6
2012030182,19,home,WIN,REG,Ken Hitchcock,2,6,38,8,4,0,55.2,2,11
2012030163,24,away,WIN,REG,Bruce Boudreau,2,7,26,14,6,2,49.2,3,5
2012030166,17,home,LOSS,OT,Mike Babcock,2,7,24,0,3,1,53.1,12,4
2012030167,17,away,WIN,REG,Mike Babcock,3,8,18,10,2,0,50.6,5,9
2012030167,24,home,LOSS,REG,Bruce Boudreau,2,8,34,6,4,1,49.4,9,4
2012030111,2,away,LOSS,REG,Jack Capuano,0,6,41,51,4,0,51.6,4,3
2012030111,5,home,WIN,REG,Dan Bylsma,3,6,36,38,4,2,48.4,2,7
2012030112,2,away,LOSS,REG,Jack Capuano,2,10,31,15,4,1,39,2,4
2014030173,52,home,LOSS,OT,Paul Maurice,2,8,61,8,3,1,51.2,11,4
2017030241,28,away,LOSS,REG,Peter DeBoer,0,8,33,31,5,0,47.8,8,6
2012030314,5,away,LOSS,REG,Dan Bylsma,0,6,33,8,3,0,47.5,8,1
2012030314,6,home,WIN,REG,Claude Julien,1,6,25,8,3,0,52.5,11,5
2012030231,17,away,LOSS,REG,Mike Babcock,1,5,43,10,3,0,52.5,6,4
2012030231,16,home,WIN,REG,Joel Quenneville,2,10,24,10,3,1,47.5,2,11
2014030134,3,away,WIN,OT,Alain Vigneault,2,6,42,6,3,0,42.9,1,4
2013030321,16,home,WIN,REG,Joel Quenneville,3,5,25,4,2,1,50,3,6
