game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012030221,3,away,LOSS,OT,John Tortorella,2,8,44,8,3,0,44.8,17,7
2016030224,15,away,LOSS,REG,Barry Trotz,2,9,30,14,4,0,44.8,4,5
2016030224,5,home,WIN,REG,Mike Sullivan,3,4,40,12,5,1,55.2,5,10
2017030321,52,home,TIE,REG,Paul Maurice,2,6,33,8,4,2,56.2,14,10
2017030322,54,away,WIN,REG,Gerard Gallant,3,7,7,8,2,0,50.8,13,7
2017030322,52,home,LOSS,REG,Paul Maurice,1,7,19,6,3,1,49.2,11,2
2017030323,52,away,TIE,REG,Paul Maurice,2,8,48,22,2,0,48,7,7
2017030323,54,home,TIE,REG,Gerard Gallant,2,7,41,18,3,0,52,15,18
2017030324,52,away,LOSS,REG,Paul Maurice,2,9,43,4,4,1,48.4,16,6
2017030222,5,away,LOSS,REG,Mike Sullivan,1,8,31,10,3,0,56.4,4,5
2017030222,15,home,WIN,REG,Barry Trotz,2,8,33,10,3,1,43.6,17,16
2017030223,15,away,LOSS,REG,Barry Trotz,2,5,41,12,4,1,39,4,7
2017030223,5,home,WIN,REG,Mike Sullivan,3,5,52,12,4,1,61,9,6
2017030224,15,away,LOSS,REG,Barry Trotz,1,5,43,13,3,1,50,5,3
2017030224,5,home,WIN,REG,Mike Sullivan,3,6,25,11,4,2,50,11,5
2017030225,5,away,LOSS,REG,Mike Sullivan,3,9,28,6,5,2,50.7,12,7
2017030225,15,home,WIN,REG,Barry Trotz,4,8,26,10,3,1,49.3,15,7
2017030226,15,away,WIN,OT,Barry Trotz,2,7,36,2,1,0,38.1,4,4
2017020562,29,away,TIE,SO,John Tortorella,2,8,36,8,3,0,40.3,8,6
2017020562,5,home,TIE,SO,Mike Sullivan,2,9,36,6,4,2,59.7,8,7
2017021081,1,away,WIN,REG,John Hynes,6,7,34,10,2,1,51.5,9,2
2017021081,54,home,LOSS,REG,Gerard Gallant,3,10,28,4,5,2,48.5,10,10
2017020955,52,away,TIE,REG,Paul Maurice,3,6,17,8,2,1,57.3,8,10
2017020955,25,home,TIE,REG,Ken Hitchcock,3,9,25,4,4,0,42.7,7,5
2016020305,2,away,LOSS,REG,Jack Capuano,2,7,24,2,1,1,52.1,14,8
2012020604,26,home,TIE,SO,Darryl Sutter,2,9,34,4,4,1,57.6,11,3
2013020210,17,away,WIN,REG,Mike Babcock,3,7,16,11,5,1,64.5,9,10
2013020210,22,home,LOSS,REG,Dallas Eakins,0,3,29,15,3,0,35.5,13,7
2012020047,29,away,LOSS,REG,Todd Richards,0,8,19,24,6,0,46.3,5,2
2012020047,21,home,WIN,REG,Joe Sacco,2,7,18,28,3,0,53.7,13,8
2013020246,13,away,LOSS,REG,Peter Horachek,2,7,28,18,5,0,48.3,6,7
2013020246,9,home,WIN,REG,Paul MacLean,3,8,39,22,3,1,51.7,9,4
2013020110,23,away,TIE,SO,John Tortorella,3,9,21,13,1,0,43.6,2,6
2015020369,52,home,WIN,REG,Paul Maurice,4,8,20,6,5,1,41.8,9,4
2016020139,20,away,LOSS,REG,Glen Gulutzan,1,8,35,10,4,0,42.3,8,7
2016020139,16,home,WIN,REG,Joel Quenneville,3,5,21,10,4,1,57.7,14,12
2017020063,10,away,LOSS,OT,Mike Babcock,2,5,33,4,2,0,56.9,15,4
2017020063,8,home,WIN,OT,Claude Julien,3,8,21,4,2,1,43.1,20,6
2016020590,53,away,LOSS,OT,Dave Tippett,2,5,33,6,2,1,46.9,7,4
2013020174,16,away,WIN,REG,Joel Quenneville,3,7,18,20,3,1,42.9,9,2
2013020174,30,home,LOSS,REG,Mike Yeo,1,7,14,20,3,0,57.1,6,6
2015021140,6,away,LOSS,REG,Claude Julien,1,10,14,12,2,0,50.8,3,0
2015021140,1,home,WIN,REG,John Hynes,2,3,23,6,5,2,49.2,7,2
2015020580,30,away,LOSS,REG,Mike Yeo,1,10,26,10,4,0,62.3,2,5
2015020580,13,home,WIN,REG,Gerard Gallant,2,7,33,8,5,0,37.7,5,2
2016020251,21,away,LOSS,REG,Jared Bednar,2,9,12,14,2,0,48.8,6,3
2016020251,25,home,WIN,REG,Lindy Ruff,3,5,7,4,7,2,51.2,8,5
