game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012020293,1,away,LOSS,REG,Peter DeBoer,1,5,12,8,3,0,46.9,3,4
2012020067,1,away,WIN,OT,Peter DeBoer,3,6,16,10,4,1,64.4,12,1
2012020094,1,home,LOSS,OT,Peter DeBoer,2,8,12,13,5,0,44.1,13,1
2012020340,1,home,TIE,SO,Peter DeBoer,2,8,18,8,3,1,53.7,4,3
2012020198,1,home,TIE,REG,Peter DeBoer,3,4,19,2,1,0,44.2,7,8
2012020050,2,away,TIE,REG,Jack Capuano,2,6,27,13,3,0,39,8,8
2012020143,2,away,LOSS,REG,Jack Capuano,1,7,23,4,5,0,47.9,2,5
2012020094,2,away,WIN,OT,Jack Capuano,3,8,4,15,4,3,55.9,1,3
2012020532,2,home,WIN,REG,Jack Capuano,3,9,23,4,1,1,54.2,13,14
2012020143,3,home,WIN,REG,John Tortorella,2,6,34,10,2,1,52.1,8,2
2012020080,3,home,WIN,REG,John Tortorella,2,7,39,14,2,1,65.6,5,9
2012020329,3,home,TIE,REG,John Tortorella,2,5,39,16,4,1,55,8,5
2012020483,3,away,WIN,REG,John Tortorella,3,7,23,2,3,1,62.1,3,5
2012020004,3,away,LOSS,REG,John Tortorella,1,5,34,24,5,0,39.7,10,1
2012020350,3,home,LOSS,REG,John Tortorella,2,8,29,13,2,0,45.8,9,3
2012020080,4,away,LOSS,REG,Peter Laviolette,1,6,31,6,6,1,34.4,11,2
2012020329,4,away,TIE,REG,Peter Laviolette,2,6,37,18,3,2,45,5,5
2012020001,4,home,LOSS,REG,Peter Laviolette,1,6,40,6,5,0,43.5,12,8
2012020172,4,away,LOSS,REG,Peter Laviolette,2,11,32,22,3,0,56.2,17,4
2012020355,4,away,LOSS,REG,Peter Laviolette,0,5,41,9,3,0,51.7,10,2
2012020483,4,home,LOSS,REG,Peter Laviolette,2,8,27,6,1,1,37.9,13,5
2012020112,4,home,TIE,REG,Peter Laviolette,3,6,25,19,3,3,45.5,12,11
2012020234,4,away,WIN,REG,Peter Laviolette,4,8,16,25,6,1,32.8,2,1
2012020198,4,away,TIE,REG,Peter Laviolette,3,7,20,2,1,1,55.8,1,9
2012020392,5,away,WIN,REG,Dan Bylsma,3,7,30,6,3,0,58.1,15,8
2012020055,5,away,TIE,REG,Dan Bylsma,2,8,27,4,1,0,46,9,1
2012020001,5,away,WIN,REG,Dan Bylsma,3,6,37,10,3,2,56.5,8,10
2012020234,5,home,LOSS,REG,Dan Bylsma,3,8,11,23,7,2,67.2,4,2
2012020050,6,home,TIE,REG,Claude Julien,2,6,35,23,3,0,61,8,9
2012020562,6,away,LOSS,REG,Claude Julien,1,6,23,4,1,0,48.5,12,1
2012020288,6,home,WIN,OT,Claude Julien,2,11,30,10,3,0,64.9,10,8
2012020435,6,away,LOSS,REG,Claude Julien,1,7,17,4,4,0,52.9,7,5
2012020459,6,away,LOSS,REG,Claude Julien,2,8,31,9,1,0,54.5,8,3
2012020355,6,home,WIN,REG,Claude Julien,3,7,31,11,2,1,48.3,7,8
2012020004,6,home,WIN,REG,Claude Julien,3,8,27,30,7,0,60.3,1,6
2012020214,6,away,WIN,REG,Claude Julien,3,6,21,4,1,1,46.2,5,6
2012020303,6,home,WIN,REG,Claude Julien,3,6,13,28,5,2,64.9,7,2
2012020340,7,away,TIE,SO,Ron Rolston,2,6,8,8,3,1,46.3,1,2
2012020067,8,home,LOSS,OT,Michel Therrien,2,8,26,8,5,1,35.6,11,6
2012020562,8,home,WIN,REG,Michel Therrien,2,7,25,4,1,1,51.5,10,6
2012020585,8,home,LOSS,REG,Michel Therrien,2,7,21,2,1,0,63.1,11,5
2012020571,9,away,LOSS,REG,Paul MacLean,1,10,27,7,5,0,51.9,5,3
2012020288,9,away,LOSS,OT,Paul MacLean,1,7,16,6,5,1,35.1,13,4
2012020586,9,away,LOSS,REG,Paul MacLean,2,8,24,18,4,1,45.2,9,5
2012020350,9,away,WIN,REG,Paul MacLean,3,9,31,21,3,1,54.2,8,5
2012020492,10,home,WIN,REG,Randy Carlyle,4,9,38,11,4,1,41.7,22,15
2012020392,10,home,LOSS,REG,Randy Carlyle,1,7,34,6,3,0,41.9,20,13
2012020172,10,home,WIN,REG,Randy Carlyle,3,6,31,31,5,0,43.8,21,7
2012020459,10,home,WIN,REG,Randy Carlyle,3,3,38,7,2,0,45.5,16,3
2012020546,12,home,LOSS,REG,Kirk Muller,0,11,24,2,3,0,42.6,6,10
2012020492,12,away,LOSS,REG,Kirk Muller,3,5,34,23,3,1,58.3,14,10
2012020112,12,away,TIE,REG,Kirk Muller,3,10,16,13,6,1,54.5,6,6
2012020257,12,home,LOSS,REG,Kirk Muller,2,8,22,6,3,0,61.4,1,11
2012020182,13,home,LOSS,OT,Kevin Dineen,3,8,24,8,5,0,35.3,3,6
2012020571,13,home,WIN,REG,Kevin Dineen,2,4,34,15,1,1,48.1,4,6
2012020162,13,away,LOSS,REG,Kevin Dineen,0,6,25,11,2,0,49,7,5
2012020546,14,away,WIN,REG,Jon Cooper,3,7,22,6,1,0,57.4,1,14
2012020586,14,home,WIN,REG,Jon Cooper,3,6,29,12,7,2,54.8,13,3
2012020257,14,away,WIN,REG,Guy Boucher,3,9,12,6,3,0,38.6,4,12
2012020303,14,away,LOSS,REG,Guy Boucher,2,5,20,22,8,2,35.1,4,2
2012020182,15,away,WIN,OT,Adam Oates,4,7,31,12,3,2,64.7,1,5
2012020162,15,home,WIN,REG,Adam Oates,3,6,24,11,2,1,51,6,10
2012020585,15,away,WIN,REG,Adam Oates,3,6,31,2,1,0,36.9,10,4
2012020273,16,home,WIN,OT,Joel Quenneville,3,8,29,8,2,1,49.1,8,13
2012020425,16,away,WIN,REG,Joel Quenneville,3,8,11,2,1,0,41.9,1,15
2012020370,16,home,LOSS,REG,Joel Quenneville,3,9,19,10,2,1,62.5,14,19
2012020104,17,home,TIE,REG,Mike Babcock,3,7,25,10,8,2,56.5,11,4
2012020366,17,home,TIE,SO,Mike Babcock,2,5,26,15,6,1,45.9,16,8
2012020158,17,home,WIN,REG,Mike Babcock,2,7,24,16,7,2,66,6,8
2012020189,17,home,WIN,OT,Mike Babcock,3,4,18,8,4,0,57.4,9,6
2012020085,17,home,WIN,REG,Mike Babcock,2,6,18,22,6,1,60,10,9
2012020551,17,away,TIE,REG,Mike Babcock,2,9,17,10,6,2,45.3,5,3
2012020455,17,away,WIN,REG,Mike Babcock,3,5,18,21,2,1,51.9,9,4
2012020195,18,home,WIN,REG,Barry Trotz,3,7,19,8,2,1,34.8,9,8
2012020509,18,away,LOSS,OT,Barry Trotz,0,8,7,7,6,0,45.6,8,6
2012020118,18,away,TIE,SO,Barry Trotz,1,6,30,10,5,0,48.4,9,7
2012020099,18,away,TIE,SO,Barry Trotz,1,3,31,12,3,0,54,13,2
2012020403,18,away,LOSS,REG,Barry Trotz,3,5,10,6,2,1,54.4,14,5
2012020536,18,home,WIN,REG,Barry Trotz,3,9,14,11,3,1,58.3,9,6
2012020209,18,home,TIE,SO,Barry Trotz,2,8,12,4,5,0,58.7,8,7
2012020075,18,away,LOSS,REG,Barry Trotz,0,5,22,15,2,0,52.8,1,2
2012020045,18,away,LOSS,REG,Barry Trotz,0,3,19,13,4,0,50,4,3
2012020032,18,away,WIN,REG,Barry Trotz,3,6,16,15,3,1,43.1,4,4
2012020104,19,away,TIE,REG,Ken Hitchcock,3,6,30,22,5,2,43.5,4,6
2012020189,19,away,LOSS,OT,Ken Hitchcock,2,6,33,10,3,1,42.6,3,8
2012020464,19,away,WIN,REG,Ken Hitchcock,3,6,27,6,2,0,51.3,6,8
2012020497,19,home,TIE,REG,Ken Hitchcock,2,5,26,8,3,1,52.9,2,2
2012020045,19,home,WIN,REG,Ken Hitchcock,3,6,22,13,4,1,50,4,4
2012020414,19,home,WIN,OT,Ken Hitchcock,2,5,17,4,3,1,53.4,3,7
2012020403,20,home,WIN,REG,Bob Hartley,4,5,15,4,3,1,45.6,16,14
