game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,venue,venue_link
2012030161,20122013,Postseason,5/1/13,17,24,1,3,Rio Tinto Stadium,/api/v1/venues/null
2012030162,20122013,Postseason,5/3/13,17,24,3,2,Rio Tinto Stadium,/api/v1/venues/null
2012030163,20122013,Postseason,5/4/13,24,17,2,0,Dignity Health Sports Park,/api/v1/venues/null
2012030164,20122013,Postseason,5/7/13,24,17,2,3,Dignity Health Sports Park,/api/v1/venues/null
2012030165,20122013,Postseason,5/9/13,17,24,2,3,Rio Tinto Stadium,/api/v1/venues/null
2012030166,20122013,Postseason,5/11/13,24,17,3,2,Dignity Health Sports Park,/api/v1/venues/null
2012030167,20122013,Postseason,5/13/13,17,24,3,2,Rio Tinto Stadium,/api/v1/venues/null
2016030171,20162017,Postseason,4/14/17,20,24,2,3,Rio Tinto Stadium,/api/v1/venues/null
2016030172,20162017,Postseason,4/16/17,20,24,2,3,Rio Tinto Stadium,/api/v1/venues/null
2016030173,20162017,Postseason,4/18/17,24,20,3,2,BMO Field,/api/v1/venues/null
2016030174,20162017,Postseason,4/20/17,24,20,3,1,BMO Field,/api/v1/venues/null
2013030241,20132014,Postseason,5/4/14,26,24,3,2,Rio Tinto Stadium,/api/v1/venues/null
2013030242,20132014,Postseason,5/6/14,26,24,3,1,Rio Tinto Stadium,/api/v1/venues/null
2013030243,20132014,Postseason,5/9/14,24,26,3,2,Nippert Stadium,/api/v1/venues/null
2013030244,20132014,Postseason,5/11/14,24,26,2,0,Nippert Stadium,/api/v1/venues/null
2013030245,20132014,Postseason,5/13/14,26,24,3,2,Rio Tinto Stadium,/api/v1/venues/null
2013030246,20132014,Postseason,5/15/14,24,26,1,2,Nippert Stadium,/api/v1/venues/null
2013030247,20132014,Postseason,5/17/14,26,24,4,2,Rio Tinto Stadium,/api/v1/venues/null
2013030171,20132014,Postseason,4/17/14,25,24,3,2,Rio Tinto Stadium,/api/v1/venues/null
2013030172,20132014,Postseason,4/19/14,25,24,2,3,Rio Tinto Stadium,/api/v1/venues/null
2013030173,20132014,Postseason,4/22/14,24,25,0,3,SeatGeek Stadium,/api/v1/venues/null
2013030174,20132014,Postseason,4/24/14,24,25,2,2,SeatGeek Stadium,/api/v1/venues/null
2013030175,20132014,Postseason,4/26/14,25,24,2,4,Rio Tinto Stadium,/api/v1/venues/null
2013030176,20132014,Postseason,4/28/14,24,25,3,2,SeatGeek Stadium,/api/v1/venues/null
2013020177,20132014,Regular Season,10/29/13,24,4,3,2,SeatGeek Stadium,/api/v1/venues/null
2012020225,20122013,Regular Season,2/19/13,29,24,2,3,Rio Tinto Stadium,/api/v1/venues/null
2013020937,20132014,Regular Season,3/6/14,8,24,3,3,Rio Tinto Stadium,/api/v1/venues/null
2013020445,20132014,Regular Season,12/8/13,24,19,3,2,Talen Energy Stadium,/api/v1/venues/null
2013020418,20132014,Regular Season,12/4/13,26,24,2,2,Rio Tinto Stadium,/api/v1/venues/null
2016020683,20162017,Regular Season,1/20/17,21,24,1,2,Rio Tinto Stadium,/api/v1/venues/null
2016030321,20162017,Postseason,5/13/17,18,24,3,2,Rio Tinto Stadium,/api/v1/venues/null
2016030322,20162017,Postseason,5/14/17,18,24,3,3,Rio Tinto Stadium,/api/v1/venues/null
2016030323,20162017,Postseason,5/17/17,24,18,1,2,Allianz Field,/api/v1/venues/null
2016030324,20162017,Postseason,5/19/17,24,18,3,2,Allianz Field,/api/v1/venues/null
2016030325,20162017,Postseason,5/20/17,18,24,3,1,Rio Tinto Stadium,/api/v1/venues/null
2016030326,20162017,Postseason,5/23/17,24,18,3,4,Allianz Field,/api/v1/venues/null
2016030241,20162017,Postseason,4/27/17,22,24,3,3,Rio Tinto Stadium,/api/v1/venues/null
2016030242,20162017,Postseason,4/29/17,22,24,2,1,Rio Tinto Stadium,/api/v1/venues/null
2016030243,20162017,Postseason,4/30/17,24,22,4,3,Maryland SoccerPlex,/api/v1/venues/null
2016030244,20162017,Postseason,5/4/17,24,22,2,3,Maryland SoccerPlex,/api/v1/venues/null
2016030245,20162017,Postseason,5/6/17,22,24,3,2,Rio Tinto Stadium,/api/v1/venues/null
2016030246,20162017,Postseason,5/7/17,24,22,1,5,Maryland SoccerPlex,/api/v1/venues/null
2016030247,20162017,Postseason,5/11/17,22,24,1,2,Rio Tinto Stadium,/api/v1/venues/null
2013020244,20132014,Regular Season,11/9/13,7,24,2,4,Rio Tinto Stadium,/api/v1/venues/null
2012020064,20122013,Regular Season,1/27/13,18,24,2,2,Rio Tinto Stadium,/api/v1/venues/null
2013020782,20132014,Regular Season,1/26/14,24,26,3,0,Nippert Stadium,/api/v1/venues/null
2013020125,20132014,Regular Season,10/21/13,25,24,3,4,Rio Tinto Stadium,/api/v1/venues/null
2013020952,20132014,Regular Season,3/8/14,5,24,2,2,Rio Tinto Stadium,/api/v1/venues/null
2012020491,20122013,Regular Season,3/28/13,24,28,0,2,Banc of California Stadium,/api/v1/venues/null
2013020975,20132014,Regular Season,3/11/14,10,24,3,1,Rio Tinto Stadium,/api/v1/venues/null
2013020271,20132014,Regular Season,11/13/13,24,13,2,3,BBVA Stadium,/api/v1/venues/null
