game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,venue,venue_link
2012030221,20122013,Postseason,5/16/13,3,6,2,3,Toyota Stadium,/api/v1/venues/null
2012030222,20122013,Postseason,5/19/13,3,6,2,3,Toyota Stadium,/api/v1/venues/null
2012030223,20122013,Postseason,5/21/13,6,3,2,1,BBVA Stadium,/api/v1/venues/null
2012030224,20122013,Postseason,5/23/13,6,3,3,2,BBVA Stadium,/api/v1/venues/null
2012030225,20122013,Postseason,5/25/13,3,6,1,3,Toyota Stadium,/api/v1/venues/null
2012030311,20122013,Postseason,6/2/13,6,5,3,0,Children's Mercy Park,/api/v1/venues/null
2012030312,20122013,Postseason,6/4/13,6,5,4,1,Children's Mercy Park,/api/v1/venues/null
2012030313,20122013,Postseason,6/6/13,5,6,1,2,Toyota Stadium,/api/v1/venues/null
2012030314,20122013,Postseason,6/8/13,5,6,0,1,Toyota Stadium,/api/v1/venues/null
2012030231,20122013,Postseason,5/16/13,17,16,1,2,Gillette Stadium,/api/v1/venues/null
2015030144,20152016,Postseason,4/21/16,5,3,3,0,BBVA Stadium,/api/v1/venues/null
2015030145,20152016,Postseason,4/23/16,3,5,3,4,Children's Mercy Park,/api/v1/venues/null
2015030181,20152016,Postseason,4/15/16,28,26,2,3,Nippert Stadium,/api/v1/venues/null
2015030182,20152016,Postseason,4/17/16,28,26,2,1,Nippert Stadium,/api/v1/venues/null
2015030183,20152016,Postseason,4/19/16,26,28,2,1,Banc of California Stadium,/api/v1/venues/null
2015030184,20152016,Postseason,4/21/16,26,28,2,3,Banc of California Stadium,/api/v1/venues/null
2015030185,20152016,Postseason,4/23/16,28,26,4,3,Nippert Stadium,/api/v1/venues/null
2013030161,20132014,Postseason,4/18/14,16,19,3,2,Talen Energy Stadium,/api/v1/venues/null
2013030162,20132014,Postseason,4/19/14,16,19,3,2,Talen Energy Stadium,/api/v1/venues/null
2013030163,20132014,Postseason,4/22/14,19,16,0,2,Gillette Stadium,/api/v1/venues/null
2013030164,20132014,Postseason,4/24/14,19,16,3,2,Gillette Stadium,/api/v1/venues/null
2016030136,20162017,Postseason,4/23/17,15,10,2,1,WakeMed Soccer Park,/api/v1/venues/null
2016030141,20162017,Postseason,4/12/17,29,5,1,3,Children's Mercy Park,/api/v1/venues/null
2016030142,20162017,Postseason,4/14/17,29,5,1,2,Children's Mercy Park,/api/v1/venues/null
2016030143,20162017,Postseason,4/16/17,5,29,3,2,Exploria Stadium,/api/v1/venues/null
2016030144,20162017,Postseason,4/18/17,5,29,2,3,Exploria Stadium,/api/v1/venues/null
2016030145,20162017,Postseason,4/20/17,29,5,2,3,Children's Mercy Park,/api/v1/venues/null
2014030141,20142015,Postseason,4/15/15,2,15,2,1,Providence Park,/api/v1/venues/null
2014030142,20142015,Postseason,4/17/15,2,15,3,2,Providence Park,/api/v1/venues/null
2014030143,20142015,Postseason,4/19/15,15,2,1,2,Centruy Link Field,/api/v1/venues/null
2014030144,20142015,Postseason,4/21/15,15,2,2,1,Centruy Link Field,/api/v1/venues/null
2014030145,20142015,Postseason,4/23/15,2,15,1,3,Providence Park,/api/v1/venues/null
2013020874,20132014,Regular Season,2/8/14,9,6,2,5,Toyota Stadium,/api/v1/venues/null
2012020417,20122013,Regular Season,3/17/13,28,26,2,3,Nippert Stadium,/api/v1/venues/null
2012020708,20122013,Regular Season,4/27/13,8,10,2,1,WakeMed Soccer Park,/api/v1/venues/null
2012020396,20122013,Regular Season,3/15/13,3,52,1,3,Providence Park,/api/v1/venues/null
2012020717,20122013,Regular Season,4/27/13,17,25,3,0,SeatGeek Stadium,/api/v1/venues/null
2012020167,20122013,Regular Season,2/10/13,22,29,3,1,Exploria Stadium,/api/v1/venues/null
2013020859,20132014,Regular Season,2/7/14,52,15,2,2,Providence Park,/api/v1/venues/null
2013020707,20132014,Regular Season,1/16/14,7,10,3,3,WakeMed Soccer Park,/api/v1/venues/null
2012020108,20122013,Regular Season,2/2/13,1,5,1,3,Children's Mercy Park,/api/v1/venues/null
2013020987,20132014,Regular Season,3/13/14,16,21,2,3,BC Place,/api/v1/venues/null
2013020196,20132014,Regular Season,11/2/13,8,30,3,2,Exploria Stadium,/api/v1/venues/null
2012020598,20122013,Regular Season,4/11/13,9,4,3,1,SeatGeek Stadium,/api/v1/venues/null
2013020661,20132014,Regular Season,1/10/14,25,1,0,1,Mercedes-Benz Stadium,/api/v1/venues/null
2013020868,20132014,Regular Season,2/8/14,3,5,3,3,Children's Mercy Park,/api/v1/venues/null
2014020999,20142015,Regular Season,3/11/15,7,10,3,3,WakeMed Soccer Park,/api/v1/venues/null
2014020771,20142015,Regular Season,2/7/15,16,52,2,1,Providence Park,/api/v1/venues/null
2014020465,20142015,Regular Season,12/18/14,6,30,3,2,Exploria Stadium,/api/v1/venues/null
2014020694,20142015,Regular Season,1/22/15,6,21,2,2,BC Place,/api/v1/venues/null
2014020926,20142015,Regular Season,2/28/15,1,29,2,0,Exploria Stadium,/api/v1/venues/null
2014020451,20142015,Regular Season,12/16/14,1,2,2,2,Centruy Link Field,/api/v1/venues/null
2014020404,20142015,Regular Season,12/8/14,23,9,3,2,Yankee Stadium,/api/v1/venues/null
2014020590,20142015,Regular Season,1/7/15,29,25,2,2,SeatGeek Stadium,/api/v1/venues/null
2014020327,20142015,Regular Season,11/27/14,12,13,0,1,BBVA Stadium,/api/v1/venues/null
2014020263,20142015,Regular Season,11/17/14,25,16,2,4,Gillette Stadium,/api/v1/venues/null
2014020865,20142015,Regular Season,2/20/15,28,25,3,2,SeatGeek Stadium,/api/v1/venues/null
2014020270,20142015,Regular Season,11/19/14,17,29,3,0,Exploria Stadium,/api/v1/venues/null
2014020799,20142015,Regular Season,2/11/15,22,2,2,3,Centruy Link Field,/api/v1/venues/null
2014021212,20142015,Regular Season,4/10/15,28,22,3,1,Maryland SoccerPlex,/api/v1/venues/null
2014020998,20142015,Regular Season,3/11/15,26,21,3,2,BC Place,/api/v1/venues/null
2014020806,20142015,Regular Season,2/12/15,17,5,1,2,Children's Mercy Park,/api/v1/venues/null
2014020677,20142015,Regular Season,1/20/15,12,10,2,1,WakeMed Soccer Park,/api/v1/venues/null
2014020906,20142015,Regular Season,2/26/15,5,15,2,3,Providence Park,/api/v1/venues/null
2014020334,20142015,Regular Season,11/28/14,16,24,2,1,Rio Tinto Stadium,/api/v1/venues/null
2014020734,20142015,Regular Season,2/1/15,25,52,3,2,Providence Park,/api/v1/venues/null
2014020932,20142015,Regular Season,3/1/15,9,28,2,2,Banc of California Stadium,/api/v1/venues/null
2014020210,20142015,Regular Season,11/9/14,18,19,2,1,Talen Energy Stadium,/api/v1/venues/null
2014020646,20142015,Regular Season,1/16/15,23,4,2,0,SeatGeek Stadium,/api/v1/venues/null
2014020648,20142015,Regular Season,1/16/15,22,14,2,3,Audi Field,/api/v1/venues/null
2014020851,20142015,Regular Season,2/18/15,25,19,2,1,Talen Energy Stadium,/api/v1/venues/null
2014021126,20142015,Regular Season,3/29/15,7,21,3,3,BC Place,/api/v1/venues/null
2014020611,20142015,Regular Season,1/10/15,13,20,4,3,BMO Field,/api/v1/venues/null
2014020997,20142015,Regular Season,3/11/15,1,30,2,4,Exploria Stadium,/api/v1/venues/null
2014020304,20142015,Regular Season,11/23/14,12,21,3,2,BC Place,/api/v1/venues/null
2014020973,20142015,Regular Season,3/8/15,2,13,3,3,BBVA Stadium,/api/v1/venues/null
2014020831,20142015,Regular Season,2/15/15,23,20,2,3,BMO Field,/api/v1/venues/null
2014020914,20142015,Regular Season,2/27/15,19,52,1,1,Providence Park,/api/v1/venues/null
2014021096,20142015,Regular Season,3/25/15,8,18,2,3,Allianz Field,/api/v1/venues/null
2014020070,20142015,Regular Season,10/19/14,4,25,4,3,SeatGeek Stadium,/api/v1/venues/null
2014021147,20142015,Regular Season,4/1/15,23,18,2,2,Allianz Field,/api/v1/venues/null
2014020873,20142015,Regular Season,2/21/15,2,15,2,2,Providence Park,/api/v1/venues/null
2014020142,20142015,Regular Season,10/30/14,4,14,3,2,Audi Field,/api/v1/venues/null
