game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012030314,5,away,LOSS,REG,Dan Bylsma,0,6,33,8,3,0,47.5,8,1
2012030314,6,home,WIN,REG,Claude Julien,1,6,25,8,3,0,52.5,11,5
2015030176,24,away,LOSS,REG,Bruce Boudreau,1,6,25,2,2,1,51.9,5,5
2015030176,18,home,WIN,REG,Peter Laviolette,3,6,30,4,1,0,48.1,8,4
2014030164,18,away,LOSS,OT,Peter Laviolette,2,13,66,10,3,1,46.6,11,10
2014030164,16,home,WIN,OT,Joel Quenneville,3,12,50,8,4,0,53.4,18,10
2013030143,3,away,WIN,REG,Alain Vigneault,2,5,39,12,4,0,45.9,9,6
2013030143,4,home,LOSS,REG,Craig Berube,1,8,39,10,5,0,54.1,6,4
2014020307,53,away,TIE,SO,Dave Tippett,3,6,19,8,2,1,39,22,12
2014020307,28,home,TIE,SO,Todd McLellan,3,10,27,4,4,1,61,25,19
2016020933,10,away,LOSS,REG,Mike Babcock,1,5,20,4,3,1,49.2,15,8
2016020933,28,home,WIN,REG,Peter DeBoer,3,9,27,6,2,0,50.8,14,13
2017021076,22,away,LOSS,REG,Todd McLellan,0,7,16,9,3,0,44.7,11,6
2017021076,20,home,WIN,REG,Glen Gulutzan,1,8,23,11,2,0,55.3,7,11
2016021163,9,away,TIE,REG,Guy Boucher,2,7,10,4,2,0,44.8,12,4
2016021163,52,home,TIE,REG,Paul Maurice,2,7,19,4,2,0,55.2,15,8
2015020604,52,away,TIE,SO,Paul Maurice,1,8,24,6,3,0,50,7,11
2015020604,25,home,TIE,SO,Lindy Ruff,1,6,17,8,2,0,50,15,9
2017020362,13,away,WIN,REG,Bob Boughner,3,9,20,8,3,0,65.1,8,10
2017020362,1,home,LOSS,REG,John Hynes,2,6,15,10,2,0,34.9,6,7
