game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012030221,3,away,LOSS,OT,John Tortorella,2,8,44,8,3,0,44.8,17,7
2012030221,6,home,WIN,OT,Claude Julien,3,12,51,6,4,1,55.2,4,5
2012030222,3,away,LOSS,REG,John Tortorella,2,9,33,11,5,0,51.7,1,4
2012030222,6,home,WIN,REG,Claude Julien,3,8,36,19,1,0,48.3,16,6
2012030223,6,away,WIN,REG,Claude Julien,2,8,28,6,0,0,61.8,10,7
2012030223,3,home,LOSS,REG,John Tortorella,1,6,37,2,2,0,38.2,7,9
2012030224,6,away,WIN,OT,Claude Julien,3,10,24,8,4,2,53.7,8,6
2012030224,3,home,LOSS,OT,John Tortorella,2,8,40,8,4,1,46.3,9,7
2012030225,3,away,LOSS,REG,John Tortorella,1,7,25,13,2,1,50.9,5,3
2012030225,6,home,WIN,REG,Claude Julien,3,8,35,11,3,1,49.1,12,9
2012030311,6,away,WIN,REG,Claude Julien,3,7,19,17,4,0,66.7,1,5
2012030311,5,home,LOSS,REG,Dan Bylsma,0,7,34,28,4,0,33.3,8,9
2012030312,6,away,WIN,REG,Claude Julien,4,7,19,6,1,0,50.9,2,5
2012030312,5,home,LOSS,REG,Dan Bylsma,1,6,37,4,2,0,49.1,12,5
2017030321,54,away,TIE,REG,Gerard Gallant,2,5,30,12,2,1,43.8,11,1
2017030321,52,home,TIE,REG,Paul Maurice,2,6,33,8,4,2,56.2,14,10
2017030322,54,away,WIN,REG,Gerard Gallant,3,7,7,8,2,0,50.8,13,7
2017030322,52,home,LOSS,REG,Paul Maurice,1,7,19,6,3,1,49.2,11,2
2017030323,52,away,TIE,REG,Paul Maurice,2,8,48,22,2,0,48,7,7
2017030323,54,home,TIE,REG,Gerard Gallant,2,7,41,18,3,0,52,15,18
2017020696,6,away,WIN,REG,Bruce Cassidy,3,8,26,4,1,1,49.1,14,5
2017021218,6,away,WIN,OT,Bruce Cassidy,3,9,14,4,3,1,52.9,9,8
2017021066,8,away,LOSS,REG,Claude Julien,2,10,22,6,2,0,45.3,6,4
2017020706,8,away,WIN,REG,Claude Julien,3,6,19,13,4,1,42.9,4,4
