game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,venue,venue_link
2012030221,20122013,Postseason,5/16/13,3,6,2,3,Toyota Stadium,/api/v1/venues/null
2012030222,20122013,Postseason,5/19/13,3,6,2,3,Toyota Stadium,/api/v1/venues/null
2012030223,20122013,Postseason,5/21/13,6,3,2,1,BBVA Stadium,/api/v1/venues/null
2012030224,20122013,Postseason,5/23/13,6,3,3,2,BBVA Stadium,/api/v1/venues/null
2012030225,20122013,Postseason,5/25/13,3,6,1,3,Toyota Stadium,/api/v1/venues/null
2012020225,20122013,Regular Season,2/19/13,29,24,2,3,Rio Tinto Stadium,/api/v1/venues/null
2012020577,20122013,Regular Season,4/8/13,12,6,2,4,Toyota Stadium,/api/v1/venues/null
2013021085,20132014,Regular Season,3/25/14,17,29,2,2,Exploria Stadium,/api/v1/venues/null
2012020122,20122013,Regular Season,2/3/13,1,2,3,0,Centruy Link Field,/api/v1/venues/null
2012020387,20122013,Regular Season,3/13/13,26,27,2,3,Avaya Stadium,/api/v1/venues/null
2013030311,20132014,Postseason,5/17/14,3,8,5,2,Red Bull Arena,/api/v1/venues/null
2013030312,20132014,Postseason,5/20/14,3,8,3,1,Red Bull Arena,/api/v1/venues/null
2013030313,20132014,Postseason,5/23/14,8,3,3,2,BBVA Stadium,/api/v1/venues/null
2013030314,20132014,Postseason,5/26/14,8,3,2,3,BBVA Stadium,/api/v1/venues/null
2013030315,20132014,Postseason,5/28/14,3,8,2,5,Red Bull Arena,/api/v1/venues/null
2013021061,20132014,Regular Season,3/22/14,3,1,2,0,Mercedes-Benz Stadium,/api/v1/venues/null
2013021042,20132014,Regular Season,3/20/14,30,1,3,2,Mercedes-Benz Stadium,/api/v1/venues/null
2013020104,20132014,Regular Season,10/18/13,19,16,2,2,Gillette Stadium,/api/v1/venues/null
2013021230,20132014,Regular Season,4/14/14,25,27,1,2,Avaya Stadium,/api/v1/venues/null
2013021083,20132014,Regular Season,3/25/14,7,8,0,2,Red Bull Arena,/api/v1/venues/null
